,ID,Price,Levy,Manufacturer,Model,Prod. year,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Airbags,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11
67,2339,7213,0,4,499,1991,3,2.5,111111,7.0,4,3,1,0,0,0,1,0,0,0,0,0,0,0
68,2725,2352,0,12,101,1991,4,1.8,234000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
69,4048,9408,0,29,570,1991,2,1.6,10000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
70,4343,3000,0,50,724,1991,2,1.8,12648846,4.0,4,1,0,0,0,0,0,0,0,1,0,0,0,0
71,7150,4704,0,7,883,1991,2,2.0,200000,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
72,7991,5500,0,4,11,1991,3,2.5,11111111,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
73,12938,3400,0,8,12,1991,4,2.0,362000,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
74,17105,4000,0,4,11,1991,3,2.5,4911,4.0,4,3,1,0,0,0,1,0,0,0,0,0,0,0
75,1040,7840,0,19,77,1992,2,3.0,123000,6.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
76,1530,3136,3301,11,316,1992,2,4.0,4512,8.0,4,1,11,1,0,0,0,0,0,0,0,0,0,0
77,1580,1700,0,4,398,1992,3,1.8,111111,6.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
78,2296,8500,0,4,492,1992,3,2.5,2582,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
79,3427,6272,0,15,57,1992,3,4.2,1000,6.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
80,4615,9408,0,4,11,1992,3,2.5,111111,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
81,5096,17249,0,10,380,1992,2,2.8,1000,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
82,5322,3450,0,12,101,1992,4,2.0,111111,4.0,4,2,4,0,1,0,0,0,0,0,0,0,0,0
83,5944,3700,0,8,140,1992,2,1.8,11111,4.0,1,2,3,0,0,1,0,0,0,0,0,0,0,0
84,6802,3293,0,12,101,1992,4,1.8,288094,4.0,4,2,1,0,1,0,0,0,0,0,0,0,0,0
85,6816,7840,0,12,101,1992,2,1.8,100000,4.0,4,2,1,0,1,0,0,0,0,0,0,0,0,0
86,7293,4234,0,10,980,1992,2,2.0,300000,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
87,7859,10349,0,19,77,1992,3,2.5,280000,6.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
88,8146,3500,0,7,405,1992,4,2.3,220000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
89,8383,2500,0,15,462,1992,2,1.0,262000,4.0,4,2,0,0,0,0,0,0,0,1,0,0,0,0
90,9892,7840,0,19,77,1992,4,3.0,555555,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
91,10443,9408,0,7,1193,1992,4,3.7,123000,6.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
92,10461,3607,0,4,11,1992,3,2.5,1000,4.0,4,3,1,0,0,0,0,1,0,0,0,0,0,0
93,15629,6000,0,10,188,1992,2,2.0,256000,6.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
94,16932,2200,0,8,12,1992,4,2.0,300000,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
95,206,6000,0,11,22,1993,2,4.0,240000,6.0,1,1,5,1,0,0,0,0,0,0,0,0,0,0
96,464,9408,0,19,77,1993,4,3.0,430000,6.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
97,1041,2500,0,7,16,1993,2,2.2,450000,4.0,4,3,2,0,0,0,0,0,0,1,0,0,0,0
98,3314,3000,0,10,380,1993,2,2.8,111000,6.0,4,3,1,0,0,1,0,0,0,0,0,0,0,0
99,4406,1254,0,4,398,1993,2,1.6,200000,4.0,4,2,1,0,1,0,0,0,0,0,0,0,0,0
100,4996,8467,0,26,785,1993,2,1.6,170000,4.0,4,1,2,1,0,0,0,0,0,0,0,0,0,0
101,6020,7527,0,19,77,1993,4,3.0,1111,6.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
102,6354,20385,0,11,228,1993,2,4.0,1000,6.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
103,6444,3136,0,12,199,1993,2,1.8,245000,4.0,1,2,2,0,0,1,0,0,0,0,0,0,0,0
104,6984,2822,0,12,199,1993,4,1.8,1000,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
105,7163,3450,0,12,101,1993,4,1.6,110000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
106,8511,15681,0,6,519,1993,3,4.2,126000,6.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
107,10524,2822,0,8,12,1993,2,2.0,111111,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
108,12077,8154,0,8,1300,1993,2,3.2,275652,6.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
109,12092,6272,0,29,570,1993,2,1.6,120000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
110,12700,2500,0,8,12,1993,2,1.6,1000,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
111,15022,15681,3699,6,1468,1993,2,4.5,223000,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
112,15091,9408,0,7,152,1993,2,2.0,219529,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
113,16187,2500,0,45,1541,1993,4,2.3,111111,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
114,1834,7840,0,7,152,1994,2,2.0,368268,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
115,2591,3000,0,8,140,1994,2,1.4,1111,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
116,2664,9408,0,11,22,1994,2,4.0,335000,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
117,3880,3800,0,8,12,1994,2,1.6,270000,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
118,4158,43905,0,7,703,1994,2,3.2,200000,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
119,4394,11604,0,7,361,1994,2,2.8,248000,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
120,4401,6899,0,4,11,1994,3,2.5,98521,4.0,4,3,6,0,0,0,1,0,0,0,0,0,0,0
121,5332,6272,0,4,11,1994,3,2.5,111000,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
122,6088,2500,0,39,870,1994,2,1.6,100000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
123,6520,3136,0,8,12,1994,2,2.0,2697,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
124,6696,4500,0,8,140,1994,2,1.6,250000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
125,6719,5645,0,12,927,1994,2,2.0,126000,4.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
126,6976,5488,0,10,950,1994,2,2.5,240000,6.0,4,3,0,0,0,0,0,0,0,1,0,0,0,0
127,7634,4000,0,12,199,1994,2,1.8,182000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
128,7932,1568,0,8,12,1994,4,1.6,100000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
129,8799,5500,0,7,35,1994,2,1.8,980087,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
130,9808,2600,0,21,1141,1994,2,2.0,280000,4.0,4,2,12,0,0,1,0,0,0,0,0,0,0,0
131,10162,3136,0,4,66,1994,4,4.0,272000,6.0,1,1,4,1,0,0,0,0,0,0,0,0,0,0
132,10816,5488,0,10,211,1994,2,2.0,1000,6.0,4,3,6,0,0,0,0,0,0,1,0,0,0,0
133,10967,2500,0,12,862,1994,2,1.6,250000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
134,11501,3763,0,10,502,1994,2,1.6,262000,4.0,4,3,2,0,0,0,0,0,0,1,0,0,0,0
135,12066,4704,0,8,140,1994,4,1.6,156788,4.0,4,2,0,0,0,0,0,0,1,0,0,0,0,0
136,12132,9408,0,10,188,1994,4,2.0,111111,6.0,4,3,1,0,0,1,0,0,0,0,0,0,0,0
137,12183,7213,0,10,211,1994,2,2.0,285000,6.0,4,3,4,0,0,0,0,0,0,1,0,0,0,0
138,13055,7000,0,7,361,1994,2,2.8,271000,6.0,4,3,1,0,0,1,0,0,0,0,0,0,0,0
139,13273,9408,0,4,11,1994,3,2.5,100000,4.0,4,3,2,0,0,0,1,0,0,0,0,0,0,0
140,13620,1900,0,12,101,1994,4,1.6,30000,4.0,4,2,3,0,0,1,0,0,0,0,0,0,0,0
141,14067,6899,0,10,502,1994,2,1.6,308910,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
142,15146,3763,0,4,11,1994,3,2.5,11111,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
143,16079,3763,0,8,140,1994,2,1.4,21000,4.0,4,2,4,0,0,0,0,1,0,0,0,0,0,0
144,16372,5488,0,10,211,1994,2,2.0,1000,6.0,4,3,6,0,0,0,0,0,0,1,0,0,0,0
145,16854,4077,1531,12,199,1994,2,1.8,1133,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
146,17048,4234,0,7,139,1994,2,2.2,270000,4.0,1,3,2,0,0,1,0,0,0,0,0,0,0,0
147,81,2822,0,10,53,1995,2,2.0,350000,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
148,108,3450,0,14,71,1995,2,1.2,50000,3.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
149,367,7840,0,7,165,1995,3,2.5,410918,2.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
150,417,2500,0,14,177,1995,2,2.0,32000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
151,544,7213,0,7,73,1995,2,2.2,444000,4.0,1,2,6,0,0,1,0,0,0,0,0,0,0,0
152,1293,5331,0,10,97,1995,2,2.5,300000,6.0,4,3,9,0,0,1,0,0,0,0,0,0,0,0
153,1301,6272,0,3,30,1995,2,1.5,272000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
154,1523,2700,0,4,389,1995,2,1.8,135000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
155,1550,1500,0,8,392,1995,2,2.0,700000,1.0,4,3,0,0,0,0,0,1,0,0,0,0,0,0
156,1814,10349,0,4,11,1995,3,2.5,327389,4.0,4,3,2,0,0,0,1,0,0,0,0,0,0,0
157,1944,47042,3292,10,446,1995,2,4.0,173000,8.0,4,3,12,0,0,1,0,0,0,0,0,0,0,0
158,2333,17249,2971,7,498,1995,2,3.6,150000,6.0,1,3,2,0,0,1,0,0,0,0,0,0,0,0
159,2373,4077,0,10,502,1995,2,1.6,250000,4.0,1,3,1,0,1,0,0,0,0,0,0,0,0,0
160,2404,3000,0,12,25,1995,4,1.8,1101001,4.0,4,2,1,0,0,1,0,0,0,0,0,0,0,0
161,2858,4391,0,12,199,1995,2,1.8,107000,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
162,3017,4077,0,7,35,1995,4,1.8,200000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
163,3094,4077,1529,7,35,1995,2,1.8,2014,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
164,3510,5300,0,7,139,1995,2,2.0,1000,4.0,4,3,3,0,0,1,0,0,0,0,0,0,0,0
165,3750,4077,0,10,188,1995,2,2.0,1111111,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
166,3775,7370,0,4,662,1995,4,2.4,239000,4.0,4,1,2,1,0,0,0,0,0,0,0,0,0,0
167,4389,6272,0,7,35,1995,2,1.8,100000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
168,4777,6272,0,45,771,1995,2,2.5,253442,6.0,1,3,2,0,0,1,0,0,0,0,0,0,0,0
169,4797,7527,0,4,11,1995,3,2.5,111111,4.0,4,3,2,0,0,0,1,0,0,0,0,0,0,0
170,5159,6272,0,10,715,1995,2,2.0,354000,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
171,5548,5959,0,7,35,1995,4,1.8,2147483647,4.0,4,3,5,0,0,1,0,0,0,0,0,0,0,0
172,5569,1000,0,23,830,1995,2,1.0,1300,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
173,5858,3400,0,7,35,1995,2,1.8,333333,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
174,6256,4701,0,8,140,1995,2,1.6,231000,4.0,1,2,2,0,1,0,0,0,0,0,0,0,0,0
175,6483,3500,0,8,902,1995,2,1.6,1000,4.0,4,2,2,0,0,0,0,0,0,1,0,0,0,0
176,6492,8781,0,10,904,1995,2,3.1,177000,6.0,4,3,0,0,0,0,0,0,0,1,0,0,0,0
177,6643,3136,0,4,389,1995,4,1.6,250000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
178,7032,3136,0,8,224,1995,2,1.4,100000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
179,7149,1000,0,23,830,1995,2,1.0,1300,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
180,7456,2000,0,3,30,1995,2,1.4,210000,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
181,7480,3450,0,7,35,1995,2,1.8,20000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
182,7884,2700,0,3,30,1995,2,1.3,2000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
183,8754,4077,0,8,140,1995,2,1.4,1111111,4.0,4,2,2,0,0,0,0,1,0,0,0,0,0,0
184,9257,7840,0,4,11,1995,3,2.5,500000,4.0,4,3,2,0,0,0,1,0,0,0,0,0,0,0
185,9270,2979,0,14,177,1995,4,1.8,217000,4.0,4,2,4,0,1,0,0,0,0,0,0,0,0,0
186,9580,4200,0,12,862,1995,2,1.6,12333,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
187,9886,7840,0,10,125,1995,2,3.0,100000,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
188,10052,6272,0,7,35,1995,4,2.0,58008888,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
189,10375,4077,0,10,149,1995,2,1.8,285000,4.0,4,3,1,0,1,0,0,0,0,0,0,0,0,0
190,10765,7840,0,7,152,1995,4,2.0,554,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
191,10771,3800,0,12,862,1995,2,1.6,1000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
192,11006,10976,0,4,11,1995,3,2.5,200000,4.0,4,3,2,0,0,0,1,0,0,0,0,0,0,0
193,11156,5018,0,8,12,1995,2,2.0,300000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
194,11343,2600,1529,8,12,1995,4,1.8,999999999,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
195,11622,4500,0,21,1277,1995,2,1.5,147000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
196,11962,3763,0,6,575,1995,2,3.0,170000,6.0,1,1,2,1,0,0,0,0,0,0,0,0,0,0
197,12105,4700,0,8,1304,1995,2,2.0,147000,4.0,4,1,2,1,0,0,0,0,0,0,0,0,0,0
198,12578,9095,1529,10,149,1995,2,1.8,61000,4.0,4,3,2,0,0,0,0,0,0,1,0,0,0,0
199,12749,2650,0,8,12,1995,2,1.8,284018,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
200,12972,5645,0,7,139,1995,4,2.0,250000,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
201,13018,3763,0,8,12,1995,2,1.8,245000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
202,13404,4391,0,12,199,1995,4,1.8,260000,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
203,13418,2100,0,12,199,1995,2,1.8,100000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
204,13607,8500,0,7,80,1995,3,2.9,2000,5.0,4,3,1,0,0,0,1,0,0,0,0,0,0,0
205,13989,5331,0,8,140,1995,4,1.6,250000,4.0,4,2,4,0,1,0,0,0,0,0,0,0,0,0
206,14117,4077,0,10,149,1995,2,1.8,300000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
207,14212,5645,0,7,73,1995,2,2.2,310000,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
208,14912,5645,0,7,35,1995,4,1.8,46777,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
209,14971,2000,0,13,210,1995,2,1.8,100000,4.0,4,2,1,0,0,1,0,0,0,0,0,0,0,0
210,15228,6272,0,7,35,1995,4,2.0,237000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
211,15250,4391,0,12,101,1995,4,1.8,260000,4.0,4,2,4,0,1,0,0,0,0,0,0,0,0,0
212,15321,5959,0,10,502,1995,2,1.6,294000,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
213,15350,6899,0,10,149,1995,2,1.8,18000,4.0,1,3,4,0,0,1,0,0,0,0,0,0,0,0
214,16377,2352,0,8,741,1995,4,2.0,234567,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
215,16822,4861,0,8,140,1995,2,1.8,223000,4.0,4,2,0,0,0,0,0,0,0,0,0,1,0,0
216,17073,2195,0,8,741,1995,4,2.0,150000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
217,17083,4704,0,7,152,1995,4,2.0,111111,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
218,17271,3763,0,7,35,1995,2,1.8,1111111111,5.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
219,430,5600,0,10,149,1996,2,1.8,1000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
220,616,2500,0,8,224,1996,2,1.4,280000,4.0,4,2,0,0,0,0,0,0,0,1,0,0,0,0
221,905,4704,0,8,288,1996,2,1.8,260000,4.0,4,2,2,0,1,0,0,0,0,0,0,0,0,0
222,1054,3763,0,19,100,1996,2,2.4,111000,4.0,1,3,2,0,0,0,0,0,0,0,1,0,0,0
223,1165,8781,1719,19,333,1996,2,0.7,60600,3.0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
224,1238,7527,1848,7,16,1996,3,2.2,380000,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
225,1269,6500,0,7,35,1996,2,1.8,230000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
226,1307,1700,0,14,177,1996,2,1.6,10000,4.0,4,2,2,0,0,0,0,0,1,0,0,0,0,0
227,1317,5175,0,3,49,1996,4,2.0,240000,4.0,1,2,4,1,0,0,0,0,0,0,0,0,0,0
228,1525,5645,0,10,390,1996,2,1.6,300000,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
229,1573,8467,0,10,396,1996,4,4.0,14000,8.0,2,3,6,0,0,1,0,0,0,0,0,0,0,0
230,1631,6272,0,7,405,1996,4,2.3,4000000,6.0,1,3,4,0,0,1,0,0,0,0,0,0,0,0
231,1993,4547,0,8,12,1996,2,1.6,157000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
232,2364,5331,0,7,139,1996,4,2.0,305222,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
233,2368,4861,0,8,12,1996,2,1.8,319000,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
234,2772,6899,0,7,443,1996,2,2.3,210456,4.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
235,3646,4391,0,8,12,1996,2,1.8,442000,4.0,4,2,4,0,0,1,0,0,0,0,0,0,0,0
