ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Airbags
12306,1000,0,21,141,1990,3,2,1.6,1111,4.0,4,2,2
12630,2822,0,10,188,1990,3,2,2.0,111111,6.0,4,3,2
12710,1568,0,29,1285,1990,2,2,1.6,350000,4.0,4,2,11
13148,3136,0,12,25,1990,3,4,1.8,500,4.0,4,2,0
13494,5645,0,52,1382,1990,1,2,0.9,64525,4.0,4,1,0
13919,6300,0,10,1408,1990,3,2,3.0,300000,6.0,4,3,0
14852,5000,0,4,11,1990,4,3,2.5,10000,4.0,4,3,0
17208,3136,0,7,1588,1990,3,4,2.3,350000,4.0,1,3,0
2339,7213,0,4,499,1991,4,3,2.5,111111,7.0,4,3,1
2725,2352,0,12,101,1991,3,4,1.8,234000,4.0,4,2,0
4048,9408,0,29,570,1991,1,2,1.6,10000,4.0,4,1,0
4343,3000,0,50,724,1991,7,2,1.8,12648846,4.0,4,1,0
7150,4704,0,7,883,1991,3,2,2.0,200000,4.0,4,2,4
7991,5500,0,4,11,1991,4,3,2.5,11111111,4.0,4,3,0
12938,3400,0,8,12,1991,3,4,2.0,362000,4.0,4,2,4
17105,4000,0,4,11,1991,4,3,2.5,4911,4.0,4,3,1
1040,7840,0,19,77,1992,1,2,3.0,123000,6.0,4,1,0
1530,3136,3301,11,316,1992,1,2,4.0,4512,8.0,4,1,11
1580,1700,0,4,398,1992,2,3,1.8,111111,6.0,4,2,0
2296,8500,0,4,492,1992,4,3,2.5,2582,4.0,4,3,0
3427,6272,0,15,57,1992,1,3,4.2,1000,6.0,4,1,0
4615,9408,0,4,11,1992,4,3,2.5,111111,4.0,4,3,0
5096,17249,0,10,380,1992,3,2,2.8,1000,6.0,4,3,2
5322,3450,0,12,101,1992,2,4,2.0,111111,4.0,4,2,4
5944,3700,0,8,140,1992,3,2,1.8,11111,4.0,1,2,3
6802,3293,0,12,101,1992,2,4,1.8,288094,4.0,4,2,1
6816,7840,0,12,101,1992,2,2,1.8,100000,4.0,4,2,1
7293,4234,0,10,980,1992,3,2,2.0,300000,6.0,4,3,2
7859,10349,0,19,77,1992,1,3,2.5,280000,6.0,1,1,2
8146,3500,0,7,405,1992,3,4,2.3,220000,4.0,4,3,2
8383,2500,0,15,462,1992,7,2,1.0,262000,4.0,4,2,0
9892,7840,0,19,77,1992,1,4,3.0,555555,6.0,1,1,0
10443,9408,0,7,1193,1992,3,4,3.7,123000,6.0,4,3,0
10461,3607,0,4,11,1992,5,3,2.5,1000,4.0,4,3,1
15629,6000,0,10,188,1992,3,2,2.0,256000,6.0,4,3,0
16932,2200,0,8,12,1992,3,4,2.0,300000,4.0,4,2,4
206,6000,0,11,22,1993,1,2,4.0,240000,6.0,1,1,5
464,9408,0,19,77,1993,1,4,3.0,430000,6.0,4,1,0
1041,2500,0,7,16,1993,7,2,2.2,450000,4.0,4,3,2
3314,3000,0,10,380,1993,3,2,2.8,111000,6.0,4,3,1
4406,1254,0,4,398,1993,2,2,1.6,200000,4.0,4,2,1
4996,8467,0,26,785,1993,1,2,1.6,170000,4.0,4,1,2
6020,7527,0,19,77,1993,1,4,3.0,1111,6.0,4,1,0
6354,20385,0,11,228,1993,1,2,4.0,1000,6.0,4,1,0
6444,3136,0,12,199,1993,3,2,1.8,245000,4.0,1,2,2
6984,2822,0,12,199,1993,3,4,1.8,1000,4.0,4,2,2
7163,3450,0,12,101,1993,2,4,1.6,110000,4.0,4,2,2
8511,15681,0,6,519,1993,1,3,4.2,126000,6.0,4,1,0
10524,2822,0,8,12,1993,3,2,2.0,111111,4.0,4,2,2
12077,8154,0,8,1300,1993,1,2,3.2,275652,6.0,1,1,2
12092,6272,0,29,570,1993,1,2,1.6,120000,4.0,4,1,0
12700,2500,0,8,12,1993,3,2,1.6,1000,4.0,4,2,4
15022,15681,3699,6,1468,1993,1,2,4.5,223000,6.0,1,1,0
15091,9408,0,7,152,1993,3,2,2.0,219529,4.0,4,3,0
16187,2500,0,45,1541,1993,3,4,2.3,111111,4.0,4,3,0
1834,7840,0,7,152,1994,3,2,2.0,368268,4.0,4,3,4
2591,3000,0,8,140,1994,3,2,1.4,1111,4.0,4,2,0
2664,9408,0,11,22,1994,1,2,4.0,335000,6.0,1,1,0
3880,3800,0,8,12,1994,3,2,1.6,270000,4.0,4,2,2
4158,43905,0,7,703,1994,1,2,3.2,200000,6.0,1,1,0
4394,11604,0,7,361,1994,3,2,2.8,248000,6.0,4,3,2
4401,6899,0,4,11,1994,4,3,2.5,98521,4.0,4,3,6
5332,6272,0,4,11,1994,4,3,2.5,111000,4.0,4,3,0
6088,2500,0,39,870,1994,1,2,1.6,100000,4.0,4,1,0
6520,3136,0,8,12,1994,3,2,2.0,2697,4.0,4,2,2
6696,4500,0,8,140,1994,3,2,1.6,250000,4.0,4,2,0
6719,5645,0,12,927,1994,2,2,2.0,126000,4.0,4,2,0
6976,5488,0,10,950,1994,7,2,2.5,240000,6.0,4,3,0
7634,4000,0,12,199,1994,3,2,1.8,182000,4.0,4,2,0
7932,1568,0,8,12,1994,2,4,1.6,100000,4.0,4,2,2
8799,5500,0,7,35,1994,3,2,1.8,980087,4.0,4,3,2
9808,2600,0,21,1141,1994,3,2,2.0,280000,4.0,4,2,12
10162,3136,0,4,66,1994,1,4,4.0,272000,6.0,1,1,4
10816,5488,0,10,211,1994,7,2,2.0,1000,6.0,4,3,6
10967,2500,0,12,862,1994,2,2,1.6,250000,4.0,4,2,2
11501,3763,0,10,502,1994,7,2,1.6,262000,4.0,4,3,2
12066,4704,0,8,140,1994,6,4,1.6,156788,4.0,4,2,0
12132,9408,0,10,188,1994,3,4,2.0,111111,6.0,4,3,1
12183,7213,0,10,211,1994,7,2,2.0,285000,6.0,4,3,4
13055,7000,0,7,361,1994,3,2,2.8,271000,6.0,4,3,1
13273,9408,0,4,11,1994,4,3,2.5,100000,4.0,4,3,2
13620,1900,0,12,101,1994,3,4,1.6,30000,4.0,4,2,3
14067,6899,0,10,502,1994,3,2,1.6,308910,4.0,4,3,2
15146,3763,0,4,11,1994,4,3,2.5,11111,4.0,4,3,0
16079,3763,0,8,140,1994,5,2,1.4,21000,4.0,4,2,4
16372,5488,0,10,211,1994,7,2,2.0,1000,6.0,4,3,6
16854,4077,1531,12,199,1994,3,2,1.8,1133,4.0,4,2,2
17048,4234,0,7,139,1994,3,2,2.2,270000,4.0,1,3,2
81,2822,0,10,53,1995,3,2,2.0,350000,6.0,4,3,2
108,3450,0,14,71,1995,2,2,1.2,50000,3.0,4,2,0
367,7840,0,7,165,1995,3,3,2.5,410918,2.0,4,2,2
417,2500,0,14,177,1995,3,2,2.0,32000,4.0,4,2,0
544,7213,0,7,73,1995,3,2,2.2,444000,4.0,1,2,6
1293,5331,0,10,97,1995,3,2,2.5,300000,6.0,4,3,9
1301,6272,0,3,30,1995,2,2,1.5,272000,4.0,4,2,2
1523,2700,0,4,389,1995,2,2,1.8,135000,4.0,4,2,2
1550,1500,0,8,392,1995,5,2,2.0,700000,1.0,4,3,0
1814,10349,0,4,11,1995,4,3,2.5,327389,4.0,4,3,2
1944,47042,3292,10,446,1995,3,2,4.0,173000,8.0,4,3,12
2333,17249,2971,7,498,1995,3,2,3.6,150000,6.0,1,3,2
2373,4077,0,10,502,1995,2,2,1.6,250000,4.0,1,3,1
2404,3000,0,12,25,1995,3,4,1.8,1101001,4.0,4,2,1
2858,4391,0,12,199,1995,3,2,1.8,107000,4.0,4,2,2
3017,4077,0,7,35,1995,3,4,1.8,200000,4.0,4,3,2
3094,4077,1529,7,35,1995,3,2,1.8,2014,4.0,4,3,2
3510,5300,0,7,139,1995,3,2,2.0,1000,4.0,4,3,3
3750,4077,0,10,188,1995,3,2,2.0,1111111,6.0,4,3,2
3775,7370,0,4,662,1995,1,4,2.4,239000,4.0,4,1,2
4389,6272,0,7,35,1995,3,2,1.8,100000,4.0,4,3,0
4777,6272,0,45,771,1995,3,2,2.5,253442,6.0,1,3,2
4797,7527,0,4,11,1995,4,3,2.5,111111,4.0,4,3,2
5159,6272,0,10,715,1995,3,2,2.0,354000,6.0,4,3,2
5548,5959,0,7,35,1995,3,4,1.8,2147483647,4.0,4,3,5
5569,1000,0,23,830,1995,3,2,1.0,1300,4.0,4,2,0
5858,3400,0,7,35,1995,3,2,1.8,333333,4.0,4,2,0
6256,4701,0,8,140,1995,2,2,1.6,231000,4.0,1,2,2
6483,3500,0,8,902,1995,7,2,1.6,1000,4.0,4,2,2
6492,8781,0,10,904,1995,7,2,3.1,177000,6.0,4,3,0
6643,3136,0,4,389,1995,2,4,1.6,250000,4.0,4,2,2
7032,3136,0,8,224,1995,2,2,1.4,100000,4.0,4,2,2
7149,1000,0,23,830,1995,3,2,1.0,1300,4.0,4,2,0
7456,2000,0,3,30,1995,3,2,1.4,210000,4.0,4,2,2
7480,3450,0,7,35,1995,3,2,1.8,20000,4.0,4,3,2
7884,2700,0,3,30,1995,2,2,1.3,2000,4.0,4,2,2
8754,4077,0,8,140,1995,5,2,1.4,1111111,4.0,4,2,2
9257,7840,0,4,11,1995,4,3,2.5,500000,4.0,4,3,2
9270,2979,0,14,177,1995,2,4,1.8,217000,4.0,4,2,4
9580,4200,0,12,862,1995,3,2,1.6,12333,4.0,4,2,2
9886,7840,0,10,125,1995,3,2,3.0,100000,6.0,4,3,2
10052,6272,0,7,35,1995,3,4,2.0,58008888,4.0,4,3,2
10375,4077,0,10,149,1995,2,2,1.8,285000,4.0,4,3,1
10765,7840,0,7,152,1995,3,4,2.0,554,4.0,4,3,2
10771,3800,0,12,862,1995,3,2,1.6,1000,4.0,4,2,0
11006,10976,0,4,11,1995,4,3,2.5,200000,4.0,4,3,2
11156,5018,0,8,12,1995,2,2,2.0,300000,4.0,4,2,2
11343,2600,1529,8,12,1995,3,4,1.8,999999999,4.0,4,2,4
11622,4500,0,21,1277,1995,2,2,1.5,147000,4.0,4,2,2
11962,3763,0,6,575,1995,1,2,3.0,170000,6.0,1,1,2
12105,4700,0,8,1304,1995,1,2,2.0,147000,4.0,4,1,2
12578,9095,1529,10,149,1995,7,2,1.8,61000,4.0,4,3,2
12749,2650,0,8,12,1995,3,2,1.8,284018,4.0,4,2,2
12972,5645,0,7,139,1995,3,4,2.0,250000,4.0,4,3,4
13018,3763,0,8,12,1995,2,2,1.8,245000,4.0,4,2,2
13404,4391,0,12,199,1995,3,4,1.8,260000,4.0,4,2,4
13418,2100,0,12,199,1995,3,2,1.8,100000,4.0,4,2,0
13607,8500,0,7,80,1995,4,3,2.9,2000,5.0,4,3,1
13989,5331,0,8,140,1995,2,4,1.6,250000,4.0,4,2,4
14117,4077,0,10,149,1995,3,2,1.8,300000,4.0,4,3,2
14212,5645,0,7,73,1995,3,2,2.2,310000,4.0,4,3,4
14912,5645,0,7,35,1995,3,4,1.8,46777,4.0,4,3,2
14971,2000,0,13,210,1995,3,2,1.8,100000,4.0,4,2,1
15228,6272,0,7,35,1995,3,4,2.0,237000,4.0,4,3,2
15250,4391,0,12,101,1995,2,4,1.8,260000,4.0,4,2,4
15321,5959,0,10,502,1995,3,2,1.6,294000,4.0,4,3,4
15350,6899,0,10,149,1995,3,2,1.8,18000,4.0,1,3,4
16377,2352,0,8,741,1995,3,4,2.0,234567,4.0,4,3,2
16822,4861,0,8,140,1995,9,2,1.8,223000,4.0,4,2,0
17073,2195,0,8,741,1995,3,4,2.0,150000,4.0,4,3,0
17083,4704,0,7,152,1995,3,4,2.0,111111,4.0,4,3,4
17271,3763,0,7,35,1995,3,2,1.8,1111111111,5.0,4,3,2
430,5600,0,10,149,1996,3,2,1.8,1000,4.0,4,3,2
616,2500,0,8,224,1996,7,2,1.4,280000,4.0,4,2,0
905,4704,0,8,288,1996,2,2,1.8,260000,4.0,4,2,2
1054,3763,0,19,100,1996,8,2,2.4,111000,4.0,1,3,2
1165,8781,1719,19,333,1996,11,2,0.7,60600,3.0,4,1,0
1238,7527,1848,7,16,1996,3,3,2.2,380000,4.0,4,3,4
1269,6500,0,7,35,1996,3,2,1.8,230000,4.0,4,3,2
1307,1700,0,14,177,1996,6,2,1.6,10000,4.0,4,2,2
1317,5175,0,3,49,1996,1,4,2.0,240000,4.0,1,2,4
1525,5645,0,10,390,1996,3,2,1.6,300000,4.0,4,3,2
1573,8467,0,10,396,1996,3,4,4.0,14000,8.0,2,3,6
1631,6272,0,7,405,1996,3,4,2.3,4000000,6.0,1,3,4
1993,4547,0,8,12,1996,3,2,1.6,157000,4.0,4,2,0
2364,5331,0,7,139,1996,3,4,2.0,305222,4.0,4,3,2
2368,4861,0,8,12,1996,3,2,1.8,319000,4.0,4,2,2
2772,6899,0,7,443,1996,3,2,2.3,210456,4.0,4,3,2
3646,4391,0,8,12,1996,3,2,1.8,442000,4.0,4,2,4
3669,2000,1368,14,652,1996,7,2,1.6,170000,4.0,4,2,2
3765,6272,0,7,262,1996,3,4,2.0,233000,4.0,4,3,6
4494,40769,0,7,546,1996,1,2,5.5,180000,8.0,1,1,8
4498,3500,0,8,12,1996,3,4,2.0,23000,4.0,4,3,3
4602,4391,0,8,140,1996,2,2,1.6,111112,4.0,4,2,2
4771,3000,0,8,140,1996,6,4,1.6,600000,4.0,4,2,2
4858,9722,0,4,11,1996,4,3,2.5,270000,4.0,4,3,2
4868,3000,0,8,140,1996,3,4,1.6,1111,4.0,4,2,4
4879,3000,1688,12,199,1996,3,2,2.0,203658,4.0,4,2,2
5214,4704,0,7,152,1996,3,4,2.0,777777,4.0,4,3,4
5379,40769,0,7,35,1996,3,2,1.8,212485,8.0,4,3,2
5465,4704,0,8,288,1996,3,2,1.8,260000,4.0,4,2,2
5663,7527,0,10,188,1996,3,2,2.0,44444,6.0,4,3,2
6012,2822,0,12,862,1996,2,4,2.0,111111,4.0,4,2,2
6047,15681,0,7,864,1996,3,6,4.2,125000,8.0,1,3,12
6192,5959,0,7,35,1996,3,4,1.8,280000,4.0,4,3,2
6216,4500,0,4,11,1996,5,3,2.5,11000,4.0,4,3,1
6247,4077,0,8,140,1996,5,2,1.6,304000,4.0,4,2,4
6301,5331,0,7,35,1996,3,2,1.8,290000,6.0,1,3,4
6405,3000,0,14,185,1996,2,2,1.2,111000,4.0,4,2,2
6557,9408,0,19,77,1996,1,4,2.4,198000,6.0,1,1,2
6760,6115,0,12,199,1996,3,2,1.8,32585,4.0,4,2,4
6989,23521,0,4,11,1996,4,3,2.5,123000,4.0,4,3,2
7090,7840,0,30,957,1996,1,2,2.8,215852,8.0,4,3,15
7144,2500,0,8,685,1996,3,4,2.0,177777,4.0,4,3,4
7387,9408,0,7,290,1996,10,4,2.3,310000,4.0,4,3,2
7522,8467,0,7,58,1996,3,4,3.2,224643,6.0,4,3,6
7574,5331,0,3,49,1996,1,2,2.0,30000,4.0,1,2,2
7689,627,1368,3,30,1996,2,2,1.6,3445,4.0,4,2,0
8017,3600,0,4,632,1996,7,2,1.3,276000,4.0,4,2,0
8720,200,0,4,1073,1996,4,3,2.5,200000,4.0,4,3,0
8736,2200,1528,43,1076,1996,3,2,1.8,283000,4.0,4,2,2
9050,15367,0,26,1096,1996,1,2,1.3,75000,4.0,4,1,0
9306,23521,0,4,11,1996,4,3,2.5,123000,4.0,4,3,2
9425,23521,0,4,11,1996,4,3,2.5,123000,4.0,4,3,2
9824,2200,967,15,462,1996,3,4,1.1,220000,6.0,4,3,0
9847,13799,0,4,11,1996,4,3,2.5,210000,4.0,4,3,2
9926,1800,0,53,612,1996,3,2,1.6,123333,4.0,4,2,4
9976,3000,0,12,101,1996,2,2,1.6,160000,4.0,4,2,2
10113,1200,0,12,91,1996,5,4,2.0,3018,4.0,4,2,2
10155,11917,0,4,11,1996,4,3,2.5,5451812,6.0,4,3,2
10530,2195,0,8,224,1996,2,2,1.4,270000,4.0,4,2,2
10806,2500,0,8,140,1996,3,2,1.6,150000,4.0,4,2,0
10970,4547,0,8,12,1996,3,2,1.6,25000,4.0,4,2,2
11238,3500,1368,12,101,1996,2,2,1.6,275000,4.0,4,2,2
11336,4704,0,8,12,1996,3,2,1.6,11000,4.0,4,2,1
12379,4858,0,7,35,1996,3,4,1.8,220000,4.0,4,3,4
12569,7527,0,7,139,1996,3,2,2.0,150000,4.0,4,3,2
12691,14113,0,19,77,1996,1,4,3.5,186000,6.0,1,1,4
13053,5331,0,7,35,1996,3,2,1.8,250000,4.0,4,3,3
13424,11917,0,4,11,1996,6,3,2.5,254000,4.0,4,3,0
13457,3607,0,8,140,1996,2,2,1.6,220000,4.0,4,2,2
13775,5645,0,10,188,1996,3,2,2.0,278000,6.0,4,3,5
13865,4704,0,10,1404,1996,3,2,2.5,232000,6.0,4,3,4
14292,4704,0,12,101,1996,2,4,2.0,280000,4.0,4,2,0
14356,3500,0,8,140,1996,6,2,1.6,30000,4.0,4,2,2
14414,6586,0,10,211,1996,7,2,2.0,357806,6.0,4,3,2
14463,3763,0,12,101,1996,2,2,1.6,220000,4.0,4,2,2
14483,2500,0,8,224,1996,2,2,1.6,211375,4.0,4,2,2
14688,3800,0,8,12,1996,3,2,2.0,1111111,4.0,4,2,2
14925,23521,0,4,11,1996,4,3,2.5,123000,4.0,4,3,2
15063,3136,0,15,1225,1996,2,2,1.4,441745,4.0,4,2,2
15284,23521,0,4,11,1996,4,3,2.5,123000,4.0,4,3,2
15380,3136,0,12,101,1996,2,2,1.6,220000,1.0,4,2,0
15469,2822,0,4,389,1996,5,4,1.8,40000000,4.0,4,2,4
15597,4000,0,10,380,1996,3,4,2.0,1000,6.0,2,3,2
15609,4391,0,10,380,1996,3,2,2.8,360000,6.0,4,3,0
15760,3450,0,8,12,1996,3,4,1.6,1234,4.0,4,2,2
15779,10349,0,4,11,1996,4,3,2.5,335000,4.0,4,3,0
15851,3500,0,12,862,1996,2,4,1.6,200000,4.0,4,2,2
15973,10349,5681,19,77,1996,1,2,2.4,169800,4.0,1,1,2
16247,23521,0,4,11,1996,4,3,2.5,123000,4.0,4,3,2
16542,5018,0,7,73,1996,3,3,2.2,136000,4.0,4,3,0
16788,15053,0,4,11,1996,4,3,2.5,188000,4.0,4,3,0
16949,5645,0,7,290,1996,3,4,2.3,344000,4.0,4,3,2
17133,2200,0,4,389,1996,2,2,1.8,11111,6.0,4,2,16
12,3000,0,8,12,1997,5,4,1.6,350000,4.0,4,2,4
103,1254,0,19,69,1997,3,2,1.3,100000,4.0,4,3,0
122,15681,0,19,77,1997,1,2,2.4,142000,4.0,1,1,6
149,4547,0,8,12,1997,3,2,1.6,15000,4.0,4,2,2
296,6586,0,10,149,1997,3,6,1.8,270000,4.0,4,3,2
467,10976,0,7,187,1997,3,2,5.0,167000,8.0,1,3,8
469,5000,0,10,149,1997,7,2,1.8,545654,4.0,4,3,4
481,5645,0,8,12,1997,6,2,2.0,200000,4.0,4,2,4
676,7840,0,7,58,1997,3,4,3.2,111111,6.0,1,3,6
897,2700,0,8,12,1997,3,4,1.6,777777777,4.0,1,2,2
932,3000,0,7,290,1997,3,2,2.2,111111,4.0,4,3,0
1646,4704,0,10,149,1997,3,2,1.8,211000,4.0,1,3,2
1650,3500,0,8,224,1997,3,2,1.4,11111,4.0,4,2,2
1670,5331,0,7,410,1997,3,2,2.8,100000,6.0,1,3,10
1710,7213,0,7,35,1997,3,2,1.8,11111111,4.0,4,3,2
2097,3150,5679,6,465,1997,8,2,2.4,230000,4.0,1,1,2
2146,7840,0,7,58,1997,3,6,3.2,170000,6.0,4,3,4
2391,4234,0,10,97,1997,3,2,2.5,225142,6.0,1,3,2
2607,4077,0,12,537,1997,5,3,1.9,194000,4.0,4,2,2
2611,7840,0,15,462,1997,3,4,1.0,2888,4.0,4,2,2
2623,3763,0,7,290,1997,3,2,2.3,105000,4.0,1,3,4
3060,7527,0,4,11,1997,4,3,2.5,1000,4.0,4,3,0
3139,2500,0,8,607,1997,5,2,2.0,290000,4.0,4,2,2
3492,8467,0,4,11,1997,4,3,2.5,250000,6.0,4,3,1
3929,5331,0,6,76,1997,1,2,2.0,80000,4.0,1,2,8
3943,400,0,12,101,1997,2,4,1.6,9300,4.0,4,2,2
4137,5331,0,3,49,1997,1,2,2.0,1972,1.0,1,1,0
4387,6272,0,7,152,1997,3,4,2.0,165000,4.0,1,3,6
4658,4391,0,12,199,1997,3,4,1.8,174000,4.0,4,2,4
5097,13000,0,7,19,1997,4,6,2.0,170000,6.0,4,2,2
5301,6893,0,7,384,1997,7,2,2.0,14000,4.0,4,3,2
5422,9408,0,10,821,1997,3,2,2.0,25000,6.0,4,3,2
5629,4391,0,8,140,1997,6,4,1.6,294271,4.0,4,2,2
5774,6900,0,29,570,1997,1,2,1.7,200000,4.0,4,1,0
5932,2600,0,12,856,1997,2,2,1.6,3568,4.0,4,2,2
6233,16308,0,6,879,1997,1,2,2.7,213700,4.0,1,1,2
6262,4000,0,12,101,1997,3,2,1.8,111111,4.0,4,2,2
6489,13500,0,7,903,1997,4,3,2.9,111000,1.0,4,3,1
6848,7840,0,10,380,1997,3,2,2.8,455855,6.0,4,3,6
7100,3763,0,13,98,1997,3,2,2.6,111111,6.0,1,1,2
7326,4704,0,8,12,1997,3,4,1.8,585000,4.0,4,2,2
7443,6272,0,7,988,1997,3,4,2.8,30000,6.0,1,3,4
7491,4077,0,8,140,1997,3,2,1.6,180000,4.0,1,2,2
7700,6500,0,10,1004,1997,3,2,1.8,284000,4.0,4,3,2
8042,14113,0,37,576,1997,1,2,3.2,240000,6.0,1,1,6
8370,7840,0,8,305,1997,8,6,2.2,300000,4.0,4,2,6
8398,5175,0,12,101,1997,2,4,2.0,180008,4.0,4,2,2
8440,5645,0,3,49,1997,1,2,2.0,230000,4.0,1,2,2
8560,3763,0,8,12,1997,5,2,1.6,111111,4.0,4,2,2
8584,2979,0,12,315,1997,2,2,1.6,212000,4.0,1,2,2
8602,6586,0,10,950,1997,3,2,1.8,245000,4.0,1,3,4
8833,3500,0,8,140,1997,2,4,1.6,131000,4.0,4,2,1
8943,4200,0,8,12,1997,3,2,1.6,6666,4.0,4,2,4
9279,5331,0,4,11,1997,4,3,2.5,396672,1.0,4,3,0
9337,4391,0,12,101,1997,3,4,1.8,174000,4.0,4,2,4
9392,7527,0,7,35,1997,3,2,1.8,312000,4.0,4,3,6
9438,2822,0,19,160,1997,2,2,1.3,3250000,4.0,4,2,2
9483,11604,0,19,77,1997,1,2,3.5,368000,6.0,1,1,2
9644,7840,0,7,180,1997,6,4,2.4,280000,6.0,4,3,4
9773,5300,0,7,16,1997,3,4,2.0,312217,4.0,2,3,4
9871,3700,0,15,462,1997,3,2,1.0,111111,4.0,4,2,1
9894,2500,0,53,1146,1997,3,2,1.6,162000,4.0,4,2,2
9964,6000,0,7,58,1997,3,4,3.2,258000,6.0,1,3,6
10239,3763,0,12,101,1997,2,4,2.0,25000,4.0,4,2,2
10273,8467,0,10,189,1997,3,6,2.5,111111,6.0,2,3,4
10298,5645,0,12,101,1997,2,2,1.4,220000,4.0,4,2,2
10425,5331,0,8,12,1997,2,2,1.6,2000,4.0,4,2,4
10818,3607,0,8,12,1997,3,2,1.6,70000,4.0,1,2,2
10990,4077,0,34,718,1997,8,2,2.9,126405,8.0,1,3,2
11032,7213,0,7,58,1997,3,4,3.2,180000,6.0,1,3,8
11133,13485,0,4,11,1997,5,3,2.5,134080,4.0,4,3,2
11425,8000,0,7,58,1997,3,4,3.2,280000,6.0,1,3,4
