,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
31,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,A
32,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,D
33,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,D
34,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,D
35,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,D
36,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,D
37,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
38,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
39,Male,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_6,C
40,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
41,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
42,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
43,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
44,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
45,Female,Yes,79,No,Lawyer,0.0,High,2.0,Cat_6,A
46,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
47,Female,No,29,Yes,Healthcare,0.0,Low,1.0,Cat_7,A
48,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
49,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
50,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
51,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
52,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
53,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
54,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
55,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
56,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
57,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
58,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
59,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
60,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
61,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
62,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
63,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
64,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
65,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
66,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
67,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
68,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
69,Female,Yes,39,Yes,Homemaker,0.0,High,2.0,Cat_6,A
70,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
71,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
72,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
73,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
74,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
75,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
76,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
77,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
78,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
79,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,D
80,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
81,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
82,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
83,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
84,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A
85,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
86,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
87,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
88,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
89,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
90,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
91,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
92,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
93,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
94,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
95,Male,Yes,58,Yes,Artist,0.0,Average,1.0,Cat_6,D
96,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
97,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
98,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
99,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
100,Male,Yes,60,Yes,Artist,0.0,Average,4.0,Cat_6,C
101,Male,Yes,68,No,Executive,1.0,High,7.0,Cat_6,B
102,Male,Yes,52,No,Artist,0.0,Low,3.0,Cat_4,A
103,Male,Yes,38,No,Executive,0.0,High,5.0,Cat_6,A
104,Female,Yes,35,Yes,Healthcare,10.0,Low,2.0,Cat_6,B
105,Male,No,18,No,Doctor,1.0,Low,2.0,Cat_6,D
106,Male,Yes,30,Yes,Homemaker,3.0,Low,2.0,Cat_1,D
107,Male,No,86,No,Lawyer,1.0,Low,1.0,Cat_6,D
108,Female,,19,No,Healthcare,6.0,Low,5.0,Cat_3,D
109,Male,No,25,No,Healthcare,9.0,Low,3.0,Cat_6,D
110,Male,Yes,59,Yes,Entertainment,0.0,Low,4.0,Cat_4,A
111,Female,No,39,Yes,Artist,0.0,Low,1.0,Cat_6,A
112,Female,Yes,50,Yes,Doctor,1.0,Low,,Cat_6,B
113,Male,No,47,Yes,Artist,1.0,Low,1.0,Cat_6,C
114,Male,Yes,43,Yes,Executive,0.0,High,3.0,Cat_6,D
115,Male,Yes,36,No,Executive,8.0,Average,4.0,Cat_1,B
116,Male,Yes,80,No,Lawyer,1.0,Low,1.0,Cat_6,D
117,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
118,Male,No,27,No,,2.0,Low,7.0,Cat_4,D
119,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
120,Male,Yes,46,Yes,Executive,0.0,High,3.0,Cat_6,C
121,Male,Yes,55,No,Executive,1.0,High,4.0,Cat_3,B
122,Female,Yes,47,No,Engineer,9.0,Average,4.0,Cat_4,B
123,Female,No,28,Yes,Healthcare,1.0,Low,3.0,Cat_3,D
124,Male,Yes,39,No,Entertainment,9.0,Low,2.0,Cat_3,D
125,Female,Yes,27,No,Marketing,1.0,Low,2.0,Cat_6,A
126,Female,Yes,42,No,Engineer,0.0,Low,,Cat_6,A
127,Male,Yes,72,Yes,Artist,0.0,Average,2.0,Cat_6,C
128,Female,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A
129,Male,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C
130,Male,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A
131,Female,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C
132,Male,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D
133,Male,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_6,A
134,Female,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B
135,Male,No,30,No,Executive,5.0,Low,5.0,Cat_6,A
136,Female,No,41,No,Artist,0.0,Low,2.0,Cat_6,B
137,Female,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D
138,Female,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D
139,Female,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B
140,Female,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A
141,Female,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C
142,Female,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C
143,Male,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B
144,Female,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B
145,Male,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C
146,Female,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A
147,Male,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B
148,Female,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D
149,Male,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C
150,Male,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A
151,Female,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A
152,Female,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C
153,Female,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B
154,Female,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C
155,Female,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D
156,Male,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C
157,Female,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C
158,Female,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B
159,Male,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C
160,Female,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C
161,Female,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
162,Male,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A
163,Female,No,32,No,Healthcare,1.0,Low,5.0,,C
164,Male,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C
165,Female,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C
166,Female,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C
167,Male,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D
168,Female,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B
169,Male,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C
170,Male,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B
171,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
172,Female,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B
173,Male,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B
174,Female,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C
175,Male,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C
176,Female,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D
177,Female,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D
178,Female,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D
179,Female,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A
180,Female,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C
181,Male,Yes,52,No,Entertainment,0.0,Average,5.0,Cat_4,B
182,Female,No,29,Yes,Artist,0.0,Low,1.0,Cat_4,B
183,Male,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C
184,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A
185,Male,Yes,38,Yes,Artist,0.0,Low,2.0,Cat_6,C
186,Female,Yes,85,No,Lawyer,0.0,Low,,,A
187,Female,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A
188,Female,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D
189,Male,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B
190,Male,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B
191,Female,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C
192,Male,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D
193,Male,Yes,48,Yes,Artist,0.0,Average,4.0,Cat_7,C
194,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
195,Male,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A
196,Female,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A
197,Female,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B
198,Male,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A
199,Male,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B
200,Female,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C
201,Male,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D
202,Female,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D
203,Female,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A
204,Male,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
205,Male,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D
206,Female,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D
207,Female,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C
208,Male,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B
209,Female,Yes,50,No,Engineer,0.0,Average,4.0,Cat_2,B
210,Female,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B
211,Male,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B
212,Female,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C
213,Female,,85,No,Lawyer,0.0,High,1.0,Cat_3,C
214,Female,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
215,Male,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D
216,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
217,Male,Yes,25,No,Doctor,0.0,Average,2.0,Cat_4,B
218,Male,Yes,56,No,Executive,0.0,High,2.0,Cat_6,A
219,Male,No,62,Yes,,0.0,Low,1.0,Cat_6,A
220,Female,No,35,,Artist,0.0,Low,3.0,Cat_6,B
221,Male,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A
222,Female,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A
223,Male,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D
224,Female,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D
225,Female,No,56,No,Engineer,0.0,Low,1.0,Cat_6,A
226,Male,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B
227,Male,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B
228,Male,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D
229,Female,Yes,25,Yes,Healthcare,0.0,Low,2.0,Cat_6,D
230,Female,Yes,74,No,Lawyer,0.0,High,2.0,Cat_6,D
231,Female,No,23,No,Healthcare,0.0,Low,4.0,,D
232,Female,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B
233,Male,No,21,No,Healthcare,0.0,Low,4.0,,D
234,Female,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A
235,Male,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C
236,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
237,Female,No,33,Yes,,0.0,Low,4.0,,D
238,Female,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B
239,Female,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C
240,Male,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C
241,Female,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C
242,Female,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A
243,Male,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C
244,Female,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C
245,Male,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
246,Male,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D
247,Male,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B
248,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A
249,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
250,Female,No,49,No,Engineer,1.0,Low,,Cat_7,A
251,Male,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B
252,Male,Yes,47,No,Artist,0.0,Average,4.0,Cat_6,A
253,Male,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C
254,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
255,Female,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A
256,Female,Yes,51,No,Executive,0.0,Low,1.0,Cat_6,A
257,Female,No,42,No,Homemaker,11.0,Low,,Cat_6,A
258,Male,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A
259,Male,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A
260,Male,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C
261,Female,No,46,Yes,Doctor,1.0,Low,,Cat_3,A
262,Female,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D
263,Female,No,33,No,Engineer,0.0,Low,4.0,Cat_6,C
264,Female,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B
265,Female,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D
266,Male,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B
267,Female,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C
268,Male,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A
269,Male,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A
270,Female,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C
271,Female,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D
272,Male,,19,No,Entertainment,0.0,High,3.0,Cat_4,D
273,Male,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B
274,Female,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B
275,Male,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B
276,Male,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C
277,Female,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B
278,Female,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A
279,Female,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D
280,Male,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C
281,Male,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A
282,Male,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C
283,Male,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A
284,Female,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C
285,Male,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B
286,Female,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
287,Male,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A
288,Male,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D
289,Female,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C
290,Female,No,43,,Entertainment,0.0,Low,1.0,Cat_6,B
291,Male,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D
292,Female,No,32,No,Artist,0.0,Low,8.0,Cat_6,C
293,Male,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D
294,Female,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D
295,Male,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B
296,Female,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A
297,Male,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A
298,Male,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A
299,Female,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B
300,Male,Yes,63,Yes,Entertainment,0.0,Average,3.0,Cat_6,C
301,Female,Yes,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,D
302,Male,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D
303,Female,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D
304,Female,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B
305,Male,Yes,41,Yes,Marketing,0.0,High,2.0,Cat_6,B
306,Female,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C
307,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B
308,Female,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B
309,Female,Yes,49,No,Engineer,0.0,Average,4.0,Cat_4,B
310,Male,Yes,55,No,Executive,3.0,Low,,Cat_4,D
311,Female,,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C
312,Male,Yes,83,No,Lawyer,0.0,Low,1.0,Cat_4,B
313,Male,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A
314,Male,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A
315,Male,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
316,Female,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D
317,Female,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B
318,Female,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B
319,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
320,Male,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B
321,Male,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A
322,Male,No,18,No,Healthcare,0.0,Low,4.0,Cat_6,D
323,Male,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D
324,Female,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A
325,Female,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A
326,Female,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D
327,Female,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B
328,Female,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D
329,Female,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C
330,Female,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B
331,Female,No,32,No,Engineer,0.0,Low,4.0,Cat_6,C
332,Male,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C
333,Female,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
334,Female,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A
335,Female,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A
336,Male,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D
337,Male,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
338,Female,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A
339,Male,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C
340,Male,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B
341,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B
342,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A
343,Female,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A
344,Female,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C
345,Female,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
346,Female,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D
347,Male,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A
348,Male,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C
349,Female,Yes,60,Yes,Artist,0.0,High,4.0,Cat_6,C
350,Male,Yes,35,Yes,Artist,0.0,Average,4.0,Cat_6,C
351,Female,No,53,Yes,Engineer,0.0,Low,1.0,Cat_6,B
352,Female,Yes,86,No,Lawyer,0.0,Low,,Cat_6,B
353,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,B
354,Female,No,26,No,Doctor,0.0,Low,1.0,Cat_6,D
355,Male,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,A
356,Female,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,D
357,Male,No,19,No,Marketing,0.0,Low,5.0,Cat_6,A
358,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,A
359,Male,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D
360,Female,No,42,Yes,Artist,0.0,Low,3.0,Cat_6,A
361,Male,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,A
362,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,B
363,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,A
364,Male,Yes,61,No,Artist,1.0,High,2.0,Cat_6,B
365,Female,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,A
366,Male,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D
367,Male,No,25,No,Executive,12.0,Low,3.0,Cat_6,A
368,Female,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,D
369,Male,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,C
370,Female,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,B
371,Female,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,D
372,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D
373,Female,No,31,No,Doctor,0.0,Low,4.0,Cat_6,D
374,Male,No,23,No,Doctor,6.0,Low,4.0,Cat_2,D
375,Male,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,A
