,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
47,1,0.0,29,1.0,Healthcare,0.0,1,1.0,Cat_7,A
48,0,0.0,19,0.0,Healthcare,0.0,1,4.0,Cat_6,D
49,1,0.0,45,1.0,Engineer,1.0,1,1.0,Cat_6,A
50,1,1.0,61,0.0,Artist,1.0,2,2.0,Cat_2,B
51,1,1.0,36,1.0,Artist,1.0,2,2.0,Cat_6,C
52,0,1.0,40,1.0,Artist,1.0,1,1.0,Cat_3,A
53,1,1.0,57,1.0,Entertainment,0.0,2,2.0,Cat_6,C
54,0,1.0,76,0.0,Marketing,1.0,1,1.0,Cat_4,A
55,0,1.0,32,1.0,Artist,14.0,2,2.0,Cat_6,B
56,0,0.0,25,1.0,Healthcare,9.0,1,4.0,Cat_6,D
57,0,0.0,32,,Doctor,8.0,1,2.0,Cat_6,D
58,1,1.0,45,1.0,Artist,1.0,2,3.0,Cat_3,C
59,0,1.0,72,1.0,Lawyer,1.0,1,,Cat_4,D
60,0,1.0,48,1.0,Artist,0.0,2,2.0,Cat_6,C
61,0,1.0,55,1.0,Artist,9.0,2,2.0,Cat_1,C
62,0,1.0,74,1.0,Lawyer,0.0,3,3.0,Cat_6,D
63,0,1.0,56,1.0,Lawyer,1.0,3,2.0,Cat_6,A
64,0,1.0,59,1.0,Lawyer,7.0,3,2.0,Cat_6,A
65,0,0.0,25,1.0,Entertainment,0.0,1,2.0,Cat_6,A
66,0,1.0,31,1.0,Doctor,0.0,2,2.0,Cat_6,A
67,0,0.0,27,0.0,Artist,8.0,1,4.0,Cat_6,A
68,0,1.0,57,1.0,Artist,0.0,2,4.0,Cat_6,B
69,1,1.0,39,1.0,Homemaker,0.0,3,2.0,Cat_6,A
70,0,1.0,27,1.0,Healthcare,8.0,1,2.0,Cat_6,D
71,1,1.0,51,1.0,Entertainment,8.0,2,2.0,Cat_6,A
72,1,1.0,47,0.0,Artist,0.0,2,5.0,Cat_6,B
73,1,0.0,33,0.0,Healthcare,8.0,1,4.0,Cat_6,D
74,0,1.0,56,1.0,Artist,0.0,2,4.0,Cat_6,C
75,1,0.0,33,0.0,Homemaker,0.0,1,3.0,Cat_6,B
76,1,0.0,36,1.0,Doctor,0.0,1,2.0,Cat_6,D
77,0,1.0,51,0.0,Artist,4.0,1,3.0,Cat_4,A
78,0,1.0,45,1.0,Engineer,2.0,2,2.0,Cat_6,C
79,1,0.0,49,1.0,,1.0,1,1.0,Cat_6,D
80,0,0.0,30,0.0,Healthcare,0.0,1,4.0,Cat_6,C
81,1,0.0,26,0.0,Healthcare,6.0,1,3.0,Cat_5,D
82,0,1.0,63,1.0,Artist,8.0,1,1.0,Cat_6,A
83,0,1.0,35,0.0,Entertainment,8.0,2,4.0,Cat_3,B
84,1,0.0,19,0.0,Marketing,1.0,1,3.0,Cat_4,A
85,0,0.0,32,0.0,Healthcare,7.0,1,5.0,Cat_6,D
86,0,1.0,52,1.0,Artist,0.0,2,3.0,Cat_6,C
87,1,1.0,36,1.0,Artist,5.0,1,2.0,Cat_6,C
88,1,0.0,42,0.0,Entertainment,7.0,1,3.0,Cat_4,D
89,0,1.0,40,0.0,Doctor,0.0,2,2.0,Cat_3,D
90,0,0.0,39,1.0,Entertainment,0.0,1,3.0,Cat_1,B
91,1,1.0,47,1.0,Artist,1.0,2,4.0,Cat_3,C
92,1,1.0,61,1.0,Artist,1.0,3,2.0,Cat_6,C
93,0,1.0,32,0.0,Entertainment,1.0,1,2.0,Cat_3,D
94,0,1.0,55,0.0,Artist,0.0,1,1.0,Cat_6,B
95,0,1.0,58,1.0,Artist,0.0,2,1.0,Cat_6,D
96,1,0.0,38,1.0,Artist,0.0,1,1.0,Cat_6,D
97,0,1.0,63,1.0,Artist,0.0,3,2.0,Cat_6,C
98,0,1.0,58,1.0,Doctor,1.0,2,2.0,Cat_6,C
99,0,1.0,30,0.0,Engineer,3.0,2,3.0,Cat_4,D
100,0,1.0,60,1.0,Artist,0.0,2,4.0,Cat_6,C
101,0,1.0,68,0.0,Executive,1.0,3,7.0,Cat_6,B
102,0,1.0,52,0.0,Artist,0.0,1,3.0,Cat_4,A
103,0,1.0,38,0.0,Executive,0.0,3,5.0,Cat_6,A
104,1,1.0,35,1.0,Healthcare,10.0,1,2.0,Cat_6,B
105,0,0.0,18,0.0,Doctor,1.0,1,2.0,Cat_6,D
106,0,1.0,30,1.0,Homemaker,3.0,1,2.0,Cat_1,D
107,0,0.0,86,0.0,Lawyer,1.0,1,1.0,Cat_6,D
108,1,,19,0.0,Healthcare,6.0,1,5.0,Cat_3,D
109,0,0.0,25,0.0,Healthcare,9.0,1,3.0,Cat_6,D
110,0,1.0,59,1.0,Entertainment,0.0,1,4.0,Cat_4,A
111,1,0.0,39,1.0,Artist,0.0,1,1.0,Cat_6,A
112,1,1.0,50,1.0,Doctor,1.0,1,,Cat_6,B
113,0,0.0,47,1.0,Artist,1.0,1,1.0,Cat_6,C
114,0,1.0,43,1.0,Executive,0.0,3,3.0,Cat_6,D
115,0,1.0,36,0.0,Executive,8.0,2,4.0,Cat_1,B
116,0,1.0,80,0.0,Lawyer,1.0,1,1.0,Cat_6,D
117,0,0.0,36,1.0,Artist,0.0,1,2.0,Cat_2,C
118,0,0.0,27,0.0,,2.0,1,7.0,Cat_4,D
119,1,1.0,37,1.0,Artist,1.0,3,2.0,Cat_7,A
120,0,1.0,46,1.0,Executive,0.0,3,3.0,Cat_6,C
121,0,1.0,55,0.0,Executive,1.0,3,4.0,Cat_3,B
122,1,1.0,47,0.0,Engineer,9.0,2,4.0,Cat_4,B
123,1,0.0,28,1.0,Healthcare,1.0,1,3.0,Cat_3,D
124,0,1.0,39,0.0,Entertainment,9.0,1,2.0,Cat_3,D
125,1,1.0,27,0.0,Marketing,1.0,1,2.0,Cat_6,A
126,1,1.0,42,0.0,Engineer,0.0,1,,Cat_6,A
127,0,1.0,72,1.0,Artist,0.0,2,2.0,Cat_6,C
128,1,1.0,28,1.0,Engineer,0.0,1,2.0,Cat_6,A
129,0,0.0,35,1.0,Entertainment,8.0,1,5.0,Cat_6,C
130,0,1.0,39,1.0,Executive,9.0,3,5.0,Cat_2,A
131,1,1.0,69,1.0,Lawyer,0.0,3,2.0,Cat_6,C
132,0,0.0,18,0.0,Healthcare,6.0,1,4.0,Cat_4,D
133,0,1.0,46,1.0,Artist,0.0,1,1.0,Cat_6,A
134,1,1.0,50,1.0,Engineer,1.0,3,2.0,Cat_4,B
135,0,0.0,30,0.0,Executive,5.0,1,5.0,Cat_6,A
136,1,0.0,41,0.0,Artist,0.0,1,2.0,Cat_6,B
137,1,0.0,39,1.0,Artist,3.0,1,4.0,Cat_6,D
138,1,0.0,29,0.0,Marketing,8.0,1,4.0,Cat_6,D
139,1,1.0,37,1.0,Artist,4.0,1,4.0,Cat_5,B
140,1,1.0,39,1.0,Engineer,0.0,2,2.0,Cat_6,A
141,1,1.0,48,1.0,Artist,0.0,2,5.0,Cat_7,C
142,1,0.0,32,1.0,Doctor,0.0,1,3.0,Cat_6,C
143,0,1.0,78,0.0,Lawyer,1.0,1,,Cat_6,B
144,1,1.0,43,0.0,Engineer,0.0,2,5.0,Cat_4,B
145,0,0.0,29,0.0,Marketing,8.0,1,5.0,Cat_6,C
146,1,1.0,28,0.0,Engineer,9.0,2,2.0,Cat_4,A
147,0,1.0,80,1.0,Lawyer,1.0,1,1.0,Cat_6,B
148,1,0.0,28,1.0,Healthcare,7.0,1,4.0,Cat_6,D
149,0,1.0,71,1.0,Artist,6.0,2,3.0,Cat_6,C
150,0,1.0,67,0.0,Lawyer,0.0,3,9.0,Cat_4,A
151,1,0.0,26,0.0,Engineer,0.0,1,1.0,Cat_2,A
152,1,1.0,47,1.0,Engineer,0.0,2,2.0,Cat_6,C
153,1,1.0,43,1.0,Artist,2.0,2,2.0,Cat_6,B
154,1,0.0,27,1.0,Healthcare,0.0,1,4.0,Cat_6,C
155,1,1.0,45,1.0,Marketing,8.0,1,4.0,Cat_6,D
156,0,1.0,76,0.0,Executive,1.0,1,1.0,Cat_6,C
157,1,1.0,43,1.0,Artist,3.0,2,4.0,Cat_6,C
158,1,1.0,78,1.0,Lawyer,1.0,3,2.0,Cat_6,B
159,0,1.0,35,1.0,Artist,3.0,2,3.0,Cat_6,C
160,1,0.0,49,1.0,Artist,1.0,1,1.0,Cat_6,C
161,1,0.0,25,1.0,Healthcare,1.0,1,5.0,Cat_6,D
162,0,1.0,37,0.0,Executive,0.0,2,5.0,Cat_6,A
163,1,0.0,32,0.0,Healthcare,1.0,1,5.0,,C
164,0,1.0,60,1.0,Doctor,0.0,2,2.0,Cat_6,C
165,1,1.0,45,1.0,Artist,5.0,2,3.0,Cat_6,C
166,1,1.0,49,1.0,Homemaker,9.0,2,3.0,Cat_6,C
167,0,0.0,32,1.0,Artist,0.0,1,5.0,Cat_6,D
168,1,1.0,40,1.0,Artist,0.0,1,3.0,Cat_3,B
169,0,1.0,59,0.0,Artist,2.0,2,2.0,Cat_4,C
170,0,1.0,48,1.0,Artist,3.0,1,5.0,Cat_6,B
171,0,1.0,82,1.0,Executive,0.0,3,2.0,Cat_6,C
172,1,1.0,70,1.0,Lawyer,0.0,1,2.0,Cat_6,B
173,0,0.0,31,1.0,Artist,5.0,1,2.0,Cat_6,B
174,1,1.0,72,1.0,Lawyer,0.0,3,2.0,Cat_6,C
175,0,1.0,50,1.0,Artist,3.0,2,4.0,Cat_6,C
176,1,0.0,23,0.0,Engineer,11.0,1,1.0,Cat_3,D
177,1,0.0,20,0.0,Healthcare,2.0,1,6.0,Cat_6,D
178,1,0.0,22,0.0,Healthcare,4.0,1,3.0,Cat_6,D
179,1,0.0,31,1.0,Engineer,8.0,1,1.0,Cat_6,A
180,1,1.0,36,1.0,Artist,7.0,2,2.0,Cat_6,C
181,0,1.0,52,0.0,Entertainment,0.0,2,5.0,Cat_4,B
182,1,0.0,29,1.0,Artist,0.0,1,1.0,Cat_4,B
183,0,1.0,40,1.0,Artist,4.0,2,4.0,Cat_6,C
184,1,0.0,40,1.0,Artist,1.0,1,1.0,Cat_6,A
185,0,1.0,38,1.0,Artist,0.0,1,2.0,Cat_6,C
186,1,1.0,85,0.0,Lawyer,0.0,1,,,A
187,1,0.0,21,0.0,Doctor,1.0,1,3.0,Cat_7,A
188,1,1.0,41,0.0,Engineer,4.0,2,2.0,Cat_6,D
189,0,1.0,40,1.0,Artist,0.0,1,2.0,Cat_6,B
190,0,1.0,53,1.0,Artist,1.0,2,3.0,Cat_6,B
191,1,1.0,42,1.0,Artist,5.0,1,2.0,Cat_6,C
192,0,1.0,42,0.0,Executive,8.0,1,2.0,Cat_6,D
193,0,1.0,48,1.0,Artist,0.0,2,4.0,Cat_7,C
194,0,1.0,59,1.0,Artist,7.0,1,2.0,Cat_6,C
195,0,1.0,41,1.0,Executive,1.0,2,3.0,Cat_6,A
196,1,1.0,31,1.0,Artist,0.0,2,2.0,Cat_6,A
197,1,1.0,49,1.0,Artist,1.0,3,5.0,Cat_6,B
198,0,1.0,67,1.0,Executive,1.0,1,2.0,Cat_6,A
199,0,1.0,35,0.0,Artist,4.0,2,2.0,Cat_6,B
200,1,0.0,26,1.0,Healthcare,0.0,1,3.0,Cat_6,C
201,0,,19,0.0,Healthcare,9.0,1,3.0,Cat_3,D
202,1,1.0,25,0.0,Engineer,6.0,2,8.0,Cat_4,D
203,1,1.0,39,1.0,Healthcare,4.0,1,2.0,Cat_6,A
204,0,1.0,63,1.0,Entertainment,0.0,1,2.0,Cat_6,A
205,0,0.0,23,0.0,Healthcare,8.0,1,3.0,Cat_6,D
206,1,0.0,23,0.0,Healthcare,0.0,1,3.0,Cat_3,D
207,1,1.0,53,1.0,Artist,2.0,1,1.0,Cat_6,C
208,0,0.0,33,1.0,Doctor,0.0,1,2.0,Cat_6,B
209,1,1.0,50,0.0,Engineer,0.0,2,4.0,Cat_2,B
210,1,1.0,69,1.0,Engineer,0.0,1,2.0,Cat_4,B
211,0,0.0,37,1.0,Artist,2.0,1,1.0,Cat_6,B
212,1,0.0,20,0.0,Marketing,3.0,1,4.0,Cat_7,C
213,1,,85,0.0,Lawyer,0.0,3,1.0,Cat_3,C
214,1,1.0,49,1.0,Doctor,1.0,2,4.0,Cat_6,C
215,0,0.0,18,0.0,Healthcare,0.0,1,3.0,Cat_3,D
216,1,1.0,52,1.0,Doctor,0.0,2,2.0,Cat_6,C
217,0,1.0,25,0.0,Doctor,0.0,2,2.0,Cat_4,B
218,0,1.0,56,0.0,Executive,0.0,3,2.0,Cat_6,A
219,0,0.0,62,1.0,,0.0,1,1.0,Cat_6,A
220,1,0.0,35,,Artist,0.0,1,3.0,Cat_6,B
221,0,1.0,28,1.0,Engineer,0.0,2,2.0,Cat_6,A
222,1,0.0,28,1.0,Artist,7.0,1,3.0,Cat_6,A
223,0,0.0,20,0.0,Healthcare,0.0,1,5.0,Cat_7,D
224,1,0.0,27,0.0,Homemaker,8.0,1,1.0,Cat_3,D
225,1,0.0,56,0.0,Engineer,0.0,1,1.0,Cat_6,A
226,0,1.0,45,1.0,Artist,4.0,2,4.0,Cat_6,B
227,0,0.0,25,1.0,Healthcare,1.0,1,4.0,Cat_4,B
228,0,0.0,40,0.0,Marketing,1.0,1,1.0,Cat_4,D
229,1,1.0,25,1.0,Healthcare,0.0,1,2.0,Cat_6,D
230,1,1.0,74,0.0,Lawyer,0.0,3,2.0,Cat_6,D
231,1,0.0,23,0.0,Healthcare,0.0,1,4.0,,D
232,1,1.0,67,1.0,Lawyer,0.0,3,2.0,Cat_6,B
233,0,0.0,21,0.0,Healthcare,0.0,1,4.0,,D
234,1,0.0,38,1.0,Artist,9.0,1,1.0,Cat_3,A
235,0,0.0,28,0.0,Healthcare,0.0,1,4.0,Cat_2,C
236,1,0.0,32,0.0,Healthcare,1.0,1,5.0,Cat_7,B
237,1,0.0,33,1.0,,0.0,1,4.0,,D
238,1,1.0,56,0.0,Lawyer,1.0,3,4.0,Cat_4,B
239,1,1.0,53,1.0,Artist,1.0,1,2.0,Cat_6,C
240,0,1.0,57,0.0,Executive,1.0,3,5.0,Cat_6,C
241,1,1.0,59,1.0,Artist,0.0,2,3.0,Cat_6,C
242,1,1.0,25,1.0,Healthcare,1.0,3,4.0,Cat_4,A
243,0,1.0,59,1.0,Artist,0.0,2,6.0,Cat_6,C
244,1,1.0,36,1.0,Artist,0.0,1,4.0,Cat_6,C
245,0,1.0,37,1.0,Entertainment,7.0,1,2.0,Cat_6,A
246,0,0.0,22,0.0,Doctor,1.0,1,3.0,Cat_2,D
247,0,1.0,43,1.0,Artist,1.0,1,2.0,Cat_6,B
248,0,1.0,41,1.0,Artist,1.0,1,2.0,Cat_4,A
249,1,0.0,21,0.0,Engineer,0.0,1,5.0,Cat_2,B
250,1,0.0,49,0.0,Engineer,1.0,1,,Cat_7,A
251,0,0.0,38,1.0,Doctor,8.0,1,1.0,Cat_2,B
252,0,1.0,47,0.0,Artist,0.0,2,4.0,Cat_6,A
253,0,1.0,70,1.0,Lawyer,1.0,3,3.0,Cat_6,C
254,1,0.0,31,0.0,Engineer,1.0,1,4.0,Cat_6,B
255,1,1.0,82,0.0,Lawyer,0.0,2,2.0,Cat_6,A
256,1,1.0,51,0.0,Executive,0.0,1,1.0,Cat_6,A
257,1,0.0,42,0.0,Homemaker,11.0,1,,Cat_6,A
258,0,0.0,38,1.0,Artist,8.0,1,3.0,Cat_2,A
259,0,1.0,18,0.0,Executive,0.0,3,4.0,Cat_6,A
260,0,1.0,50,1.0,Artist,6.0,2,3.0,Cat_6,C
261,1,0.0,46,1.0,Doctor,1.0,1,,Cat_3,A
262,1,1.0,72,0.0,Lawyer,1.0,3,3.0,Cat_6,D
263,1,0.0,33,0.0,Engineer,0.0,1,4.0,Cat_6,C
264,1,0.0,25,0.0,Homemaker,1.0,1,7.0,Cat_4,B
265,1,1.0,75,0.0,Entertainment,2.0,3,2.0,Cat_2,D
266,0,0.0,72,1.0,Artist,1.0,1,1.0,Cat_6,B
267,1,1.0,72,1.0,Artist,0.0,2,3.0,Cat_4,C
268,0,1.0,36,1.0,Entertainment,6.0,1,6.0,Cat_4,A
269,0,1.0,40,1.0,Artist,1.0,1,2.0,Cat_6,A
270,1,0.0,28,1.0,Entertainment,0.0,1,4.0,Cat_6,C
271,1,0.0,28,1.0,Doctor,0.0,1,3.0,Cat_6,D
272,0,,19,0.0,Entertainment,0.0,3,3.0,Cat_4,D
273,0,1.0,43,1.0,Artist,0.0,1,2.0,Cat_4,B
274,1,1.0,35,1.0,Artist,1.0,2,2.0,Cat_6,B
275,0,1.0,65,1.0,Lawyer,1.0,3,2.0,Cat_6,B
276,0,1.0,52,1.0,Executive,7.0,3,4.0,Cat_4,C
277,1,0.0,40,1.0,Artist,1.0,1,1.0,Cat_6,B
278,1,1.0,69,0.0,Engineer,9.0,1,3.0,Cat_6,A
279,1,0.0,22,0.0,Healthcare,3.0,1,3.0,Cat_6,D
280,0,1.0,47,1.0,Executive,1.0,2,4.0,Cat_6,C
281,0,1.0,29,1.0,Marketing,1.0,3,2.0,Cat_3,A
282,0,1.0,46,1.0,Artist,1.0,2,3.0,Cat_3,C
283,0,0.0,32,1.0,Artist,1.0,1,2.0,Cat_6,A
284,1,0.0,38,1.0,Healthcare,0.0,1,1.0,Cat_2,C
285,0,1.0,59,1.0,Artist,0.0,1,1.0,Cat_6,B
286,1,0.0,26,1.0,Entertainment,1.0,1,1.0,Cat_6,D
287,0,0.0,26,1.0,Healthcare,1.0,1,2.0,Cat_3,A
288,0,0.0,28,0.0,Marketing,0.0,1,1.0,Cat_3,D
289,1,1.0,53,1.0,Engineer,1.0,2,3.0,Cat_6,C
290,1,0.0,43,,Entertainment,0.0,1,1.0,Cat_6,B
291,0,0.0,27,0.0,Doctor,1.0,1,3.0,Cat_6,D
292,1,0.0,32,0.0,Artist,0.0,1,8.0,Cat_6,C
293,0,0.0,26,0.0,Engineer,0.0,1,4.0,Cat_4,D
294,1,0.0,31,0.0,Entertainment,0.0,1,2.0,Cat_6,D
295,0,1.0,39,1.0,Executive,1.0,3,3.0,Cat_3,B
296,1,1.0,43,0.0,Engineer,1.0,1,3.0,Cat_7,A
297,0,1.0,25,0.0,Doctor,1.0,1,2.0,Cat_1,A
298,0,1.0,40,1.0,Artist,3.0,3,3.0,Cat_6,A
299,1,1.0,40,1.0,Entertainment,7.0,2,2.0,Cat_3,B
300,0,1.0,63,1.0,Entertainment,0.0,2,3.0,Cat_6,C
301,1,1.0,27,1.0,Healthcare,0.0,1,2.0,Cat_6,D
302,0,0.0,27,1.0,Healthcare,1.0,1,3.0,Cat_6,D
303,1,0.0,19,0.0,Healthcare,1.0,1,2.0,Cat_6,D
304,1,1.0,86,1.0,Lawyer,0.0,3,2.0,Cat_6,B
305,0,1.0,41,1.0,Marketing,0.0,3,2.0,Cat_6,B
306,1,1.0,27,1.0,Artist,4.0,2,2.0,Cat_3,C
307,1,1.0,70,0.0,Doctor,0.0,2,2.0,Cat_6,B
308,1,1.0,53,0.0,Engineer,8.0,2,4.0,Cat_4,B
309,1,1.0,49,0.0,Engineer,0.0,2,4.0,Cat_4,B
310,0,1.0,55,0.0,Executive,3.0,1,,Cat_4,D
311,1,,57,1.0,Engineer,0.0,2,4.0,Cat_2,C
312,0,1.0,83,0.0,Lawyer,0.0,1,1.0,Cat_4,B
313,0,1.0,43,0.0,Executive,0.0,3,4.0,Cat_6,A
314,0,1.0,36,0.0,Doctor,6.0,1,3.0,Cat_6,A
315,0,1.0,74,1.0,Lawyer,0.0,1,2.0,Cat_6,C
316,1,0.0,30,0.0,Homemaker,0.0,1,4.0,Cat_6,D
317,1,0.0,37,1.0,Artist,5.0,1,2.0,Cat_6,B
318,1,0.0,22,0.0,Marketing,0.0,1,1.0,Cat_5,B
319,0,0.0,19,0.0,Healthcare,0.0,1,4.0,Cat_6,D
320,0,1.0,70,1.0,Engineer,4.0,3,2.0,Cat_6,B
321,0,1.0,89,1.0,Lawyer,13.0,1,1.0,Cat_6,A
322,0,0.0,18,0.0,Healthcare,0.0,1,4.0,Cat_6,D
323,0,0.0,25,1.0,Doctor,6.0,1,1.0,Cat_2,D
324,1,0.0,45,1.0,Artist,4.0,1,1.0,Cat_3,A
325,1,0.0,35,1.0,Artist,3.0,1,1.0,Cat_4,A
326,1,1.0,37,0.0,Engineer,7.0,1,1.0,Cat_4,D
327,1,1.0,39,0.0,Engineer,4.0,2,2.0,Cat_6,B
328,1,0.0,32,1.0,Healthcare,1.0,1,5.0,Cat_4,D
329,1,1.0,62,1.0,Artist,2.0,2,3.0,Cat_6,C
330,1,1.0,58,1.0,Engineer,0.0,2,4.0,Cat_4,B
331,1,0.0,32,0.0,Engineer,0.0,1,4.0,Cat_6,C
332,0,0.0,25,0.0,Healthcare,0.0,1,5.0,Cat_6,C
333,1,1.0,56,1.0,Artist,0.0,2,4.0,Cat_6,C
334,1,0.0,36,1.0,Entertainment,10.0,1,2.0,Cat_6,A
335,1,0.0,30,0.0,Healthcare,8.0,1,3.0,Cat_6,A
336,0,0.0,19,0.0,Healthcare,1.0,1,5.0,Cat_6,D
337,0,0.0,27,1.0,Healthcare,0.0,1,2.0,Cat_6,A
338,1,0.0,38,1.0,Doctor,14.0,1,1.0,Cat_6,A
339,0,1.0,46,1.0,Artist,8.0,2,2.0,Cat_6,C
340,0,0.0,29,1.0,Artist,3.0,1,1.0,Cat_6,B
341,0,1.0,51,0.0,Entertainment,1.0,2,4.0,Cat_7,B
342,0,1.0,55,0.0,Artist,0.0,1,1.0,Cat_6,A
343,1,1.0,69,1.0,Engineer,1.0,1,1.0,Cat_3,A
344,1,0.0,26,0.0,Healthcare,1.0,1,8.0,Cat_7,C
345,1,1.0,83,1.0,Lawyer,0.0,1,3.0,Cat_6,A
346,1,0.0,39,1.0,Healthcare,9.0,1,1.0,Cat_6,D
347,0,1.0,35,1.0,Artist,9.0,1,1.0,Cat_6,A
348,0,1.0,19,0.0,Marketing,2.0,3,5.0,Cat_6,C
349,1,1.0,60,1.0,Artist,0.0,3,4.0,Cat_6,C
350,0,1.0,35,1.0,Artist,0.0,2,4.0,Cat_6,C
351,1,0.0,53,1.0,Engineer,0.0,1,1.0,Cat_6,B
352,1,1.0,86,0.0,Lawyer,0.0,1,,Cat_6,B
353,1,0.0,29,0.0,Healthcare,1.0,1,3.0,Cat_6,B
354,1,0.0,26,0.0,Doctor,0.0,1,1.0,Cat_6,D
355,0,0.0,36,1.0,Engineer,8.0,1,1.0,Cat_6,A
356,1,0.0,22,0.0,Homemaker,0.0,1,4.0,Cat_6,D
357,0,0.0,19,0.0,Marketing,0.0,1,5.0,Cat_6,A
358,1,1.0,20,1.0,Lawyer,1.0,2,3.0,Cat_3,A
359,0,0.0,43,1.0,Healthcare,3.0,1,3.0,Cat_6,D
360,1,0.0,42,1.0,Artist,0.0,1,3.0,Cat_6,A
361,0,0.0,43,1.0,Entertainment,1.0,1,2.0,Cat_4,A
362,1,1.0,50,1.0,Engineer,4.0,3,3.0,Cat_6,B
363,0,0.0,25,1.0,Entertainment,1.0,1,2.0,Cat_6,A
364,0,1.0,61,0.0,Artist,1.0,3,2.0,Cat_6,B
365,1,1.0,28,1.0,Healthcare,0.0,2,2.0,Cat_6,A
366,0,0.0,38,1.0,Artist,1.0,1,1.0,Cat_6,D
367,0,0.0,25,0.0,Executive,12.0,1,3.0,Cat_6,A
368,1,0.0,18,0.0,Healthcare,9.0,1,5.0,Cat_4,D
369,0,1.0,43,1.0,Entertainment,1.0,2,5.0,Cat_5,C
370,1,0.0,27,1.0,Artist,8.0,1,1.0,Cat_6,B
371,1,0.0,60,1.0,Entertainment,1.0,1,2.0,Cat_6,D
372,0,1.0,75,1.0,Lawyer,2.0,1,1.0,Cat_6,D
373,1,0.0,31,0.0,Doctor,0.0,1,4.0,Cat_6,D
374,0,0.0,23,0.0,Doctor,6.0,1,4.0,Cat_2,D
375,0,0.0,36,1.0,Artist,8.0,1,1.0,Cat_6,A
376,0,0.0,30,0.0,Doctor,1.0,1,1.0,Cat_3,C
377,0,1.0,56,0.0,Artist,1.0,2,2.0,Cat_6,C
