,Price,Levy,Manufacturer,Model,Prod. year,Category,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels
231,50,0,6,28,2013,3,1,1.5,130000,4.0,1,3
232,14426,639,5,7,2014,3,6,2.0,169024,4.0,1,2
233,9000,1325,12,127,2011,8,2,1.4,126000,4.0,1,2
234,30734,1053,7,10,2014,3,3,3.5,200179,6.0,1,1
235,22580,779,6,8,2013,3,2,2.5,156666,4.0,1,2
236,862,259,2,78,2014,1,1,1.4,133195,4.0,1,2
237,7464,247,3,3,2014,2,1,1.3,114950,4.0,1,2
238,1333,1091,4,40,2016,3,2,2.5,154850,4.0,1,2
239,59865,879,5,43,2019,1,3,1.6,13000,4.0,1,2
240,49237,1342,6,26,2017,1,2,2.7,94262,4.0,1,3
241,68223,1327,5,24,2018,6,3,2.5,27406,4.0,1,2
242,392,1017,7,33,2017,3,2,2.0,1600,4.0,1,3
243,7683,0,15,128,2006,3,4,1.8,200000,4.0,3,2
244,2430,1598,7,10,2008,3,3,3.0,175614,6.0,1,3
245,282,333,4,40,2014,3,1,2.0,0,4.0,1,2
246,392,629,15,37,2015,1,2,1.6,85944,4.0,1,1
247,33556,765,7,129,2015,3,2,2.0,0,4.0,1,3
248,39161,831,20,130,2017,1,3,1.6,73000,4.0,1,2
249,16308,0,4,11,2008,4,3,2.2,180000,4.0,4,2
250,17719,0,6,8,2009,3,1,2.4,92000,4.0,2,2
251,43278,1514,1,61,2011,1,2,4.6,160138,8.0,1,1
252,470,1058,5,5,2012,1,2,3.5,197923,6.0,1,1
253,941,1935,6,131,2016,1,2,4.6,254805,8.0,1,1
254,49858,1077,5,43,2019,1,3,2.0,48000,4.0,1,2
255,220,1055,7,133,2013,3,2,3.5,159250,6.0,1,3
256,9722,765,5,7,2015,3,6,2.0,582376,4.0,1,2
257,21326,0,7,134,2006,3,2,5.0,2000,8.0,1,3
258,51075,1017,5,43,2017,1,3,2.0,40800,4.0,1,2
259,15241,707,5,59,2011,7,2,2.0,117492,4.0,1,2
260,2587,382,4,40,2015,3,1,2.0,88795,4.0,1,2
261,15524,1347,5,24,2008,8,3,2.5,56769,4.0,1,2
262,4861,779,6,8,2013,3,1,2.5,136861,4.0,1,2
263,29793,0,7,135,2005,3,2,3.5,263000,4.0,1,3
264,18208,531,5,14,2012,3,2,1.6,95665,4.0,1,2
265,549,481,5,7,2017,3,1,2.0,107387,4.0,1,2
266,30,0,15,128,2006,2,2,1.5,0,4.0,1,2
267,34497,779,6,136,2013,1,2,2.5,65350,4.0,2,2
268,6272,1522,8,137,2000,5,2,1.8,130000,4.0,4,2
269,4924,1282,2,45,2007,1,3,2.0,183923,4.0,1,2
270,43576,1091,5,24,2016,6,3,2.5,97129,4.0,1,2
271,7840,0,7,139,2001,3,4,2.0,140000,4.0,4,3
272,28225,1079,6,13,2018,1,2,2.0,24000,4.0,1,2
273,700,0,8,140,1992,3,2,1.1,0,4.0,4,2
274,2352,0,21,141,1998,2,2,1.5,300000,4.0,4,2
275,18817,738,2,50,2017,2,2,1.4,29094,4.0,1,2
276,4861,382,4,40,2015,3,1,2.0,148709,4.0,1,2
277,13172,1399,1,1,2010,1,1,3.5,186005,6.0,1,1
278,37320,1055,7,142,2013,3,2,3.5,156800,4.0,2,1
279,706,1017,4,4,2017,1,2,2.0,251430,4.0,1,2
280,39201,881,6,8,2015,3,1,2.5,35000,4.0,1,2
281,36426,880,5,14,2018,3,6,1.6,35643,4.0,1,2
282,8467,0,3,30,2006,2,2,1.8,250000,4.0,4,2
283,7840,0,7,143,2000,7,2,3.2,255000,6.0,2,3
284,12701,900,3,49,2015,1,2,2.4,117158,4.0,1,2
285,8154,781,16,54,2012,1,2,2.5,281659,4.0,1,1
286,46414,881,6,144,2015,3,1,2.5,63645,4.0,2,2
287,45160,798,7,145,2015,1,3,2.1,197338,4.0,1,1
288,100,0,10,146,2007,9,2,3.0,1123,6.0,2,1
289,1176,639,19,148,2014,2,2,2.0,136634,4.0,1,2
290,12231,0,5,14,2013,7,2,1.8,77000,6.0,4,2
291,5802,988,6,6,2007,2,1,1.5,140000,4.0,3,2
292,2901,1277,5,7,2018,3,2,2.4,45494,4.0,1,2
293,1882,442,6,6,2017,3,1,1.8,47672,4.0,1,2
294,22894,0,15,99,2010,3,2,4.0,109100,12.0,1,1
295,11290,0,3,3,2013,3,1,1.3,145000,4.0,1,2
296,6586,0,10,149,1997,3,6,1.8,270000,4.0,4,3
297,14426,0,6,8,2006,3,1,2.4,188800,4.0,3,2
298,36065,1051,19,150,2016,1,2,2.4,39000,4.0,3,2
299,27284,0,6,151,2014,3,2,2.5,52000,4.0,2,2
300,21639,1091,16,54,2016,1,2,2.5,34000,4.0,3,1
301,7840,790,5,106,2009,2,2,1.6,140000,4.0,1,2
302,7840,0,7,152,1998,3,4,2.0,180003,4.0,4,3
303,282,289,4,4,2008,1,1,0.4,220474,4.0,1,2
304,1646,1292,7,153,2016,1,2,3.0,59099,6.0,1,1
305,24198,1131,5,43,2013,1,3,2.0,124000,4.0,1,2
306,25365,502,3,3,2013,2,2,1.5,34682,4.0,1,2
307,1725,777,2,154,2014,3,2,2.5,310061,4.0,1,2
308,314,1399,27,155,2010,3,2,3.5,162453,6.0,1,2
309,17249,586,6,6,2012,3,1,1.8,22400,4.0,1,2
310,470,1399,7,10,2010,3,2,3.5,229904,6.0,1,1
311,4704,1047,5,14,2007,3,3,1.6,54279,4.0,1,2
312,12720,815,2,50,2011,3,2,1.8,135759,4.0,1,2
313,26372,1131,5,43,2013,1,3,2.0,120534,4.0,1,2
314,13485,0,10,21,2003,1,6,3.0,189000,6.0,2,1
315,25591,380,5,14,2014,3,2,1.6,140000,4.0,1,2
316,6429,1211,7,129,2010,3,2,3.0,108517,6.0,1,1
317,251,1493,1,9,2016,1,2,3.5,107030,6.0,1,1
318,39829,1811,1,61,2010,1,2,4.6,155821,8.0,1,1
319,13172,1793,7,10,2011,3,3,5.5,325811,8.0,1,1
320,627,1077,6,13,2019,1,2,2.0,24339,4.0,1,2
321,8097,790,17,55,2009,3,2,1.6,130000,4.0,1,2
322,12388,919,10,21,2012,1,3,3.0,420794,6.0,1,1
323,18503,0,5,7,2012,3,1,2.0,280480,4.0,1,2
324,12231,574,3,156,2010,3,1,1.3,150000,4.0,3,2
325,40,0,3,3,2002,2,2,1.3,135000,4.0,3,2
326,17054,862,5,24,2011,6,3,2.5,237853,4.0,1,2
327,5300,0,3,157,2001,6,2,2.0,111000,4.0,1,2
328,9565,765,5,7,2015,3,6,2.0,42000,4.0,1,2
329,24302,765,2,154,2015,3,3,2.0,60618,4.0,1,2
330,18817,0,6,8,2009,3,2,2.4,230400,4.0,1,2
331,1960,777,15,107,2014,3,2,2.5,127918,4.0,1,2
332,17249,1051,5,7,2016,3,2,2.4,77000,4.0,2,2
333,15530,891,5,7,2016,3,6,2.0,280016,4.0,1,2
334,11290,891,5,7,2016,3,6,2.0,270874,4.0,1,2
335,24148,0,6,6,2013,2,1,1.8,118000,4.0,1,2
336,10036,639,5,7,2014,3,6,2.0,362868,4.0,1,2
337,18817,697,5,14,2015,3,2,1.8,85000,4.0,2,2
338,10349,308,1,110,2014,2,1,1.8,132563,4.0,1,2
339,549,1399,1,9,2010,1,2,3.5,138211,6.0,1,1
340,9252,765,5,7,2015,3,6,2.0,391625,4.0,1,2
341,55823,930,5,43,2018,1,3,1.7,38577,4.0,1,2
342,25089,0,6,8,2013,3,2,2.5,132800,6.0,2,3
343,18669,862,5,24,2011,8,3,2.5,52686,4.0,1,2
344,941,1058,1,1,2012,1,1,3.5,232357,6.0,1,1
345,15053,1998,4,11,2001,4,3,2.4,253206,4.0,4,3
346,10660,271,3,3,2014,2,1,1.5,76525,4.0,1,2
347,37000,891,5,43,2016,1,3,2.0,80000,4.0,1,2
348,18826,707,20,88,2011,1,3,2.0,186412,4.0,1,2
349,14583,1172,7,10,2011,3,3,3.5,230696,6.0,1,1
350,5645,706,19,158,2011,2,2,0.7,92000,3.0,1,2
351,18826,836,20,130,2010,1,3,2.0,120000,4.0,1,2
352,22649,707,5,43,2011,1,3,2.0,142000,4.0,1,2
353,16590,862,5,24,2011,8,3,2.5,42415,4.0,1,2
354,31988,394,6,8,2014,3,1,2.5,51000,4.0,1,2
355,8624,966,17,55,2009,3,2,2.0,19999,4.0,1,2
356,21012,881,6,8,2015,3,1,2.5,89000,4.0,3,2
357,10663,1266,3,3,2014,2,1,1.5,114000,4.0,1,2
358,220,1053,7,10,2014,3,3,3.5,95987,6.0,1,1
359,5331,0,19,160,2003,2,2,1.3,241589,4.0,3,2
360,7370,0,8,137,2000,8,2,1.8,260000,4.0,4,2
361,4391,0,19,161,2006,1,2,0.7,314000,3.0,4,1
362,17876,1661,4,162,2013,2,1,2.0,120000,4.0,2,2
363,11604,0,3,3,2010,2,1,1.3,157000,4.0,2,2
364,13799,0,10,163,2005,3,2,4.8,240000,8.0,2,3
365,40769,1249,6,164,2017,1,2,2.5,76000,4.0,2,1
366,7997,1850,1,15,2008,1,1,3.5,244731,6.0,1,2
367,7840,0,7,165,1995,3,3,2.5,410918,2.0,4,2
368,14113,862,12,25,2011,3,2,2.5,156800,4.0,1,2
369,11917,0,3,3,2011,2,1,1.3,188000,4.0,1,2
370,12777,1131,5,7,2013,3,2,2.0,162558,4.0,1,2
371,18817,0,6,27,2013,2,1,1.5,130000,4.0,1,2
372,23521,781,6,8,2012,3,1,2.5,83000,4.0,3,2
373,22580,1286,13,34,2010,1,2,3.2,150400,6.0,2,1
374,392,690,1,1,2016,1,1,3.5,27038,6.0,1,1
375,12544,815,6,6,2011,2,1,1.8,284678,4.0,1,2
376,3450,831,5,7,2011,3,1,2.4,224349,4.0,1,2
377,1882,308,6,6,2014,2,1,1.8,263392,4.0,1,2
378,11133,394,6,8,2014,3,1,2.5,179381,4.0,1,2
379,94,1017,5,14,2017,1,2,2.0,284251,4.0,1,2
380,34184,1058,7,10,2012,3,2,3.5,133000,6.0,1,3
381,7495,1090,2,45,2008,1,3,2.0,71486,4.0,1,2
382,4861,815,1,110,2011,2,1,1.8,95590,4.0,1,2
383,13485,765,5,7,2015,3,6,2.0,72369,4.0,1,2
384,81539,1935,1,61,2016,1,2,4.6,155976,8.0,1,1
385,20005,531,5,14,2012,3,2,1.6,147718,4.0,1,2
386,3000,0,16,166,2003,5,2,2.5,1000,6.0,2,1
387,11917,0,6,8,2007,3,1,2.4,200000,4.0,3,2
388,7840,0,7,152,1998,3,4,2.0,180003,4.0,4,3
389,627,586,1,110,2012,2,1,1.8,192683,4.0,1,2
390,12570,761,2,55,2010,3,2,1.8,152293,4.0,1,2
391,17249,0,28,168,2004,1,6,5.4,464000,8.0,1,1
392,2800,0,10,97,1988,3,3,2.4,455680,6.0,4,3
393,6899,0,7,35,1997,3,4,1.8,0,4.0,4,2
394,14009,595,6,28,2015,2,2,1.5,137350,4.0,1,2
395,392,1514,1,17,2011,3,2,4.6,202048,8.0,1,1
396,8311,891,7,36,2016,1,2,2.0,109555,4.0,1,2
397,23521,0,6,122,2014,3,2,1.8,40000,4.0,1,2
398,21730,831,5,14,2017,3,6,1.6,32510,4.0,1,2
399,80911,1325,5,24,2019,8,3,2.5,25541,4.0,1,2
400,19369,707,5,59,2011,7,2,2.0,153651,4.0,1,2
401,12544,0,26,170,2000,1,2,1.3,125000,4.0,4,1
402,25299,642,5,43,2012,1,3,2.0,160000,4.0,1,2
403,7213,880,2,50,2018,3,3,1.6,28515,4.0,1,2
404,6899,531,2,171,2012,2,2,1.6,94923,4.0,1,2
405,8154,1451,10,172,2011,1,2,4.4,147677,8.0,1,1
406,18817,0,6,6,2011,3,1,1.8,160000,4.0,2,2
407,61499,1077,5,43,2019,1,3,2.0,1217,4.0,1,2
408,17249,0,6,6,2010,3,1,1.8,256000,6.0,1,2
409,9879,1267,6,173,2013,2,1,1.5,137000,4.0,1,2
410,4000,0,29,174,1988,3,2,1.3,1000,4.0,4,3
411,17249,0,6,6,2011,2,1,1.8,141000,4.0,1,2
412,51225,1017,5,7,2017,3,2,2.0,58414,4.0,1,2
413,49798,765,5,5,2015,1,3,2.0,93555,4.0,1,2
414,17249,585,5,14,2013,3,2,1.8,64800,4.0,2,2
415,188,765,7,36,2015,1,2,2.0,69555,4.0,1,2
416,15681,0,30,176,1977,10,2,2.4,11111,6.0,4,3
417,2500,0,14,177,1995,3,2,2.0,32000,4.0,4,2
418,392,751,18,178,2013,3,1,2.4,0,4.0,1,2
419,627,1079,5,14,2018,3,2,2.0,47294,4.0,1,2
