,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
61,10349,-,6,41,2007,8,1,2,2.4,170000,4.0,1,2,1,2,2,6
62,7213,125,15,37,2013,1,1,2,1.6,312118,4.0,1,2,1,1,2,0
63,5331,-,7,42,2004,3,0,2,1.6,130000,4.0,2,2,1,1,2,6
64,20526,1131,5,43,2013,1,1,3,2.0,200279,4.0,1,2,1,1,4,4
65,9722,765,5,7,2015,3,1,6,2.0,719847,4.0,1,2,1,1,9,4
66,34657,777,5,24,2014,8,1,3,2.5,154672,4.0,1,2,1,1,1,4
67,36564,1091,5,24,2016,8,1,3,2.5,110969,4.0,1,2,1,1,2,4
68,314,779,6,8,2013,3,1,1,2.5,225510,4.0,1,2,1,1,3,12
69,5488,-,6,44,2001,2,0,2,1.5,210000,4.0,4,2,1,2,8,3
70,30063,934,5,24,2015,6,1,3,2.5,148105,4.0,1,2,1,1,1,4
71,15800,769,2,45,2011,1,1,3,2.2,255456,4.0,1,2,1,1,1,4
72,43952,1249,5,24,2017,6,1,3,2.5,111643,4.0,1,2,1,1,4,4
73,53154,891,5,5,2016,1,1,3,2.0,84506,4.0,1,2,1,1,1,4
74,14740,815,6,6,2011,2,0,1,1.8,288000,4.0,1,2,1,1,3,8
76,3763,1053,7,47,2014,1,1,2,3.5,94362,6.0,1,3,1,1,3,12
77,18189,-,6,6,2012,3,0,2,1.8,175000,4.0,1,2,1,1,1,8
78,862,2455,1,17,2008,1,1,2,4.7,263190,8.0,1,1,1,1,3,0
79,220,1185,4,4,2009,1,1,1,2.5,193614,4.0,1,2,1,1,3,0
80,5645,1324,6,18,2010,1,1,1,3.3,264877,6.0,1,1,1,1,3,12
81,7527,830,6,48,2019,3,1,2,1.5,27656,4.0,1,2,1,1,3,12
82,21953,1187,3,30,2014,3,0,1,1.4,16000,8.0,1,1,1,2,3,10
83,8154,-,3,49,1998,1,0,2,2.0,0,4.0,1,1,1,2,3,2
84,21953,781,6,8,2012,3,0,2,2.5,195053,4.0,1,2,1,1,2,0
85,19121,531,5,14,2012,3,1,2,1.6,121362,4.0,1,2,1,1,2,4
86,36065,639,5,5,2014,1,1,3,2.0,69191,4.0,1,2,1,1,3,4
87,8781,174,3,3,2012,2,1,1,1.3,83000,4.0,2,2,1,2,6,12
88,6247,760,2,50,2010,3,1,2,1.8,40772,4.0,1,2,1,1,2,4
89,16289,642,2,51,2012,1,1,3,2.0,172000,4.0,1,2,1,1,4,4
90,77775,1604,7,52,2014,1,1,2,5.5,433811,8.0,1,1,1,1,2,10
91,2822,-,10,53,1995,3,1,2,2.0,350000,6.0,4,3,1,1,5,2
92,549,781,16,54,2012,1,1,2,2.5,148213,4.0,1,1,1,1,5,0
93,6981,1095,17,55,2008,3,1,2,2.0,103246,4.0,1,2,1,1,2,4
94,27284,891,5,14,2016,3,0,2,2.0,105394,4.0,2,2,1,1,2,12
97,4234,-,3,30,1997,2,1,2,1.4,0,4.0,4,2,2,1,5,6
98,15053,-,7,58,2004,3,1,2,3.2,214000,6.0,2,3,1,1,4,8
99,15458,966,5,59,2009,7,1,2,2.0,123346,4.0,1,2,1,1,2,4
100,2901,473,2,50,2014,3,1,2,1.4,80827,4.0,1,2,1,1,6,12
101,706,1138,9,60,2013,7,1,2,3.8,64464,6.0,1,3,2,1,2,12
102,314,382,4,40,2015,3,1,1,2.0,91760,4.0,1,2,1,1,2,12
103,15681,1811,1,61,2010,1,1,2,4.6,275240,8.0,1,1,1,1,1,0
105,10663,988,6,6,2007,2,0,2,1.5,318400,4.0,1,2,1,1,1,6
106,12858,765,4,63,2015,3,0,2,2.0,91200,4.0,1,2,1,1,8,10
107,1019,917,10,21,2013,1,1,3,3.0,137802,6.0,1,1,1,1,2,12
108,549,917,10,38,2013,3,1,1,3.0,151586,6.0,1,3,1,1,3,12
109,12858,-,18,64,2016,2,0,2,1.2,107000,4.0,4,2,1,1,1,2
110,15000,-,10,65,2008,3,1,4,3.0,210408,6.0,2,3,1,1,3,12
111,85553,1156,4,66,2017,1,1,2,2.3,100567,4.0,1,2,1,1,2,4
112,44752,1091,5,24,2016,6,1,3,2.5,86000,4.0,1,2,1,1,4,4
113,17158,687,5,14,2010,3,1,2,1.6,122740,4.0,1,2,1,1,3,4
114,12231,-,19,67,2005,1,0,6,2.4,144000,4.0,2,1,1,2,3,16
115,11917,11714,7,68,2003,3,1,2,5.0,150000,12.0,2,3,1,2,3,12
116,1254,-,19,69,1997,3,0,2,1.3,100000,4.0,4,3,1,1,7,0
117,94,-,3,3,2003,2,0,2,1.5,178000,4.0,3,2,1,2,1,4
118,25591,1131,20,70,2013,1,1,3,2.0,85704,4.0,1,2,1,1,1,4
119,14897,836,5,5,2010,1,1,3,2.0,58962,4.0,1,2,1,1,3,4
120,23521,779,6,8,2013,3,1,1,2.5,90000,4.0,2,2,1,1,3,12
121,3450,-,14,71,1995,2,0,2,1.2,50000,3.0,4,2,2,1,6,0
122,706,777,21,72,2014,3,1,2,2.5,0,4.0,1,2,1,1,7,12
123,1019,1537,6,18,2009,3,1,1,3.3,318358,6.0,1,1,1,1,2,12
124,16935,765,4,40,2015,3,1,2,2.0,71454,4.0,1,2,1,1,2,0
125,19444,781,6,8,2012,3,1,2,2.5,0,4.0,2,2,1,1,2,6
126,11604,639,5,7,2014,3,1,6,2.0,346470,4.0,1,2,1,1,1,4
127,51965,891,5,5,2016,1,1,3,2.0,59515,4.0,1,2,1,1,5,4
128,706,394,6,8,2014,3,1,1,2.5,115312,4.0,1,2,1,1,4,12
130,13328,1347,5,24,2008,8,1,3,2.5,74444,4.0,1,2,1,1,10,4
131,17876,-,15,74,2012,8,0,2,2.0,143000,4.0,2,2,1,2,3,12
132,549,2866,15,75,2004,3,1,2,3.5,299709,6.0,1,2,1,1,4,12
133,20071,-,6,76,2008,1,0,2,2.4,135000,4.0,1,1,1,1,1,8
134,22894,862,5,24,2011,8,1,3,2.5,124444,4.0,1,2,1,1,10,4
135,2901,503,3,30,2012,3,1,1,1.5,146403,4.0,1,2,1,1,3,0
136,15681,-,19,77,1997,1,0,2,2.4,142000,4.0,1,1,2,1,5,6
137,39829,1811,1,61,2010,1,1,2,4.6,155821,8.0,1,1,1,1,2,0
138,706,1646,1,61,2015,1,1,2,4.6,102907,8.0,1,1,1,1,2,0
139,18660,-,5,7,2013,3,1,2,2.4,130000,4.0,2,2,1,1,2,6
140,22580,1017,7,33,2017,3,1,2,2.0,50930,4.0,1,3,1,1,2,12
141,11604,639,5,7,2014,3,1,6,2.0,264872,4.0,1,2,1,1,1,4
142,314,259,2,78,2014,2,1,1,1.4,131893,4.0,1,2,1,1,11,0
143,5488,751,22,79,2013,1,1,2,2.4,138958,4.0,1,2,1,1,2,12
144,4300,-,7,80,1985,6,0,3,2.5,1111111,4.0,4,3,1,1,2,1
145,18817,609,6,8,2018,3,1,1,2.5,35058,4.0,1,2,1,1,3,12
146,21169,697,3,81,2015,1,0,2,1.8,33330,4.0,1,1,1,1,4,8
147,9095,-,23,82,2011,7,0,2,1.2,141000,4.0,1,2,2,2,7,4
148,1568,639,12,25,2014,3,1,3,2.0,82392,4.0,1,2,1,1,1,12
150,17876,585,5,84,2013,3,1,2,1.8,117920,4.0,2,2,1,1,4,12
151,11290,891,5,7,2016,3,1,6,2.0,279787,4.0,1,2,1,1,1,4
152,36065,1399,6,85,2010,8,1,2,3.5,227200,6.0,2,2,1,1,3,16
153,862,394,6,8,2014,3,1,1,2.5,130478,4.0,1,2,1,1,3,12
154,21395,781,5,24,2012,6,1,3,2.5,166144,4.0,1,2,1,1,1,4
155,15681,891,5,7,2016,3,1,6,2.0,258706,4.0,1,2,1,1,1,4
156,627,475,2,78,2012,1,1,1,1.4,188419,4.0,1,2,1,1,7,0
157,40070,690,6,28,2016,2,1,2,1.5,25807,4.0,1,2,1,1,2,4
158,11917,-,7,86,2008,2,0,2,1.7,180000,4.0,1,2,1,1,12,8
160,35927,1131,20,88,2013,1,1,3,2.0,137267,4.0,1,2,1,1,1,4
161,21012,308,6,6,2014,3,0,1,1.8,160000,4.0,1,1,1,1,3,4
162,21012,1823,6,26,2018,3,1,2,3.5,27358,6.0,1,2,1,1,4,12
163,13172,1361,18,89,2009,8,1,3,2.9,84176,4.0,1,2,1,1,3,6
164,15624,707,5,59,2011,7,1,2,2.0,107005,4.0,1,2,1,1,4,4
165,4547,-,8,12,1997,3,0,2,1.6,15000,4.0,4,2,1,1,13,2
166,5488,1273,24,90,2015,1,1,2,3.5,124154,6.0,1,1,1,1,2,12
167,20005,531,5,14,2012,3,1,2,1.6,104997,4.0,1,2,1,1,3,4
168,36110,924,12,91,2017,3,1,2,1.8,27728,6.0,2,2,1,1,1,8
169,7840,-,7,92,1998,3,1,2,2.4,777777,6.0,4,3,1,1,5,4
170,470,1077,21,93,2019,1,1,2,2.0,11566,4.0,1,1,1,1,2,12
171,1300,-,13,94,2018,7,1,2,0.5,4000,1.0,2,3,3,2,5,0
172,43880,891,5,5,2016,1,1,3,2.0,113700,4.0,1,2,1,1,1,4
174,17249,-,6,8,2011,3,1,1,2.5,152000,4.0,3,2,1,1,3,12
175,9408,-,6,96,2003,6,0,2,1.5,181926,4.0,1,1,1,2,1,2
176,44213,891,5,5,2016,1,1,3,2.0,50255,4.0,1,2,1,1,7,4
177,8467,2078,10,97,2001,3,1,2,2.5,252800,6.0,4,3,1,1,4,6
178,627,915,13,98,2014,3,1,2,3.0,164488,6.0,1,1,1,1,1,12
180,706,475,23,82,2012,2,1,2,1.4,164574,4.0,1,2,1,1,7,12
181,3136,473,2,50,2014,3,1,2,1.4,156992,4.0,1,2,1,1,2,12
182,3450,-,8,12,1995,3,0,4,2.0,0,4.0,4,2,1,1,3,2
184,31500,-,15,99,2010,1,1,6,4.0,90200,6.0,2,1,1,1,2,12
185,20385,-,19,100,2005,8,1,2,3.0,184000,6.0,1,1,1,2,3,12
186,314,1053,7,10,2014,3,1,3,3.5,149486,6.0,1,1,1,1,1,12
187,2300,-,12,101,1996,3,0,4,2.0,0,4.0,4,2,1,1,6,0
188,7840,-,7,102,2004,6,0,6,1.9,170000,4.0,2,2,1,1,1,4
189,56450,-,6,103,2018,3,1,2,2.5,25000,4.0,2,2,1,1,5,12
190,1490,639,12,25,2014,6,1,3,2.0,113214,4.0,1,2,1,1,4,12
191,627,836,6,26,2012,3,1,2,2.7,394069,4.0,1,3,1,1,2,12
192,314,1053,7,10,2014,3,1,3,3.5,149486,6.0,1,1,1,1,1,12
193,13172,-,3,49,2002,1,0,2,2.4,260000,4.0,1,1,1,1,1,6
195,4704,917,13,105,2013,2,1,2,3.0,301707,6.0,1,1,1,1,4,0
196,706,751,5,7,2013,3,1,2,2.4,175827,4.0,1,2,1,1,2,12
197,5802,1055,7,10,2013,3,1,3,3.5,107800,6.0,1,3,1,1,4,12
198,25716,777,6,8,2014,3,0,2,2.5,115200,4.0,1,2,1,1,1,8
199,14426,642,2,51,2012,1,1,6,2.0,132036,4.0,1,2,1,1,3,4
200,10820,-,6,76,2001,1,0,2,2.0,91000,4.0,1,1,2,2,1,4
201,45436,1172,4,66,2011,1,1,2,3.5,129177,4.0,1,2,1,1,3,4
202,11917,893,5,106,2008,2,0,3,1.6,201000,4.0,4,2,1,1,2,8
203,41281,765,5,5,2015,1,1,3,2.0,185811,4.0,1,2,1,1,2,4
204,4391,-,15,107,1998,3,0,2,2.4,358400,4.0,4,2,1,1,11,2
205,3058,1872,9,20,2018,3,1,2,3.6,28968,6.0,1,1,1,1,3,12
206,3700,-,25,108,2001,7,1,2,1.8,240000,4.0,4,2,2,1,2,4
207,15681,-,26,109,2008,1,0,2,1.6,98000,4.0,1,1,2,1,2,12
208,6586,815,1,110,2011,2,1,1,1.8,122302,4.0,1,2,1,1,2,0
209,12544,-,6,6,2007,2,0,1,1.5,140000,4.0,1,2,1,1,13,6
210,30063,639,5,43,2014,1,1,3,2.0,120000,4.0,1,2,1,1,3,4
211,72130,1885,9,111,2010,2,1,2,4.8,196800,8.0,2,1,1,1,3,8
212,21639,-,5,112,2015,2,0,2,1.6,17200,4.0,2,2,2,1,7,10
213,36692,-,6,113,2013,1,0,2,2.5,120000,4.0,2,2,1,1,3,0
214,30,-,3,3,2002,2,0,2,1.5,0,4.0,1,2,1,2,1,4
215,12231,1266,6,28,2014,2,0,1,1.5,66000,4.0,3,2,1,2,1,4
216,3136,-,6,114,2004,3,0,2,1.5,300000,4.0,3,2,1,2,13,4
217,10663,-,6,6,2009,3,1,1,1.8,230000,4.0,3,2,1,1,4,6
218,5620,447,3,3,2013,2,1,2,1.3,110467,4.0,1,2,1,1,3,4
219,19130,2148,7,115,2010,3,1,2,5.5,157000,4.0,1,2,1,1,4,10
220,9408,174,3,3,2012,2,0,1,1.3,64000,4.0,3,2,1,2,2,4
221,3,-,5,14,2011,3,1,2,1.8,80000,4.0,2,2,1,1,4,6
223,5959,1730,2,116,2011,3,1,2,5.3,246976,8.0,1,2,1,1,2,12
224,26594,777,5,24,2014,8,1,3,2.5,179918,4.0,1,2,1,1,1,4
225,36065,779,6,117,2013,3,1,1,2.5,92200,4.0,2,2,1,1,13,12
227,549,862,21,119,2011,3,1,2,2.5,216550,4.0,1,2,1,1,2,12
228,6000,-,11,22,1993,1,0,2,4.0,240000,6.0,1,1,1,1,6,5
229,40142,1811,1,17,2010,1,1,2,4.6,357246,8.0,1,1,1,1,4,0
230,14000,585,5,14,2013,3,0,2,1.8,50000,4.0,2,2,1,1,4,10
231,17923,473,2,50,2014,3,1,2,1.4,127842,4.0,1,2,1,1,3,4
232,54518,831,5,43,2017,1,1,2,1.6,40193,4.0,1,2,1,1,2,4
233,10349,-,8,120,2003,2,0,2,1.6,180000,4.0,4,2,1,1,1,6
234,8154,-,6,121,2002,2,0,2,1.3,115000,4.0,1,2,1,2,1,7
235,282,289,4,4,2008,1,1,1,0.4,220474,4.0,1,2,1,1,4,0
236,7527,1131,12,91,2013,3,1,3,2.0,132310,4.0,1,2,1,1,4,12
237,3450,1249,6,8,2017,3,1,2,2.5,60762,4.0,1,2,1,1,3,12
238,22063,836,5,43,2010,1,1,3,2.0,142264,4.0,1,2,1,1,3,4
239,2901,503,3,30,2012,3,1,1,1.5,146403,4.0,1,2,1,1,3,0
240,4704,585,6,122,2013,3,1,2,1.8,227371,4.0,1,2,1,1,1,12
241,5331,-,12,91,2002,3,1,2,2.8,175000,6.0,4,2,1,1,4,6
242,941,642,12,25,2012,3,1,3,2.0,203440,4.0,1,2,1,1,2,12
243,16900,502,3,3,2013,2,1,2,1.5,70000,4.0,1,2,1,1,5,4
244,18189,-,15,123,2010,1,1,2,2.5,122000,4.0,1,1,1,1,1,4
245,5331,-,21,124,2000,8,0,2,2.5,127000,4.0,1,2,1,1,6,4
246,42651,1017,7,36,2017,1,1,2,2.0,44995,4.0,1,1,1,1,2,0
247,15524,586,6,6,2012,2,0,1,1.8,122324,4.0,1,2,1,1,7,7
248,17249,-,10,125,2007,3,1,2,3.0,111111,6.0,2,3,1,1,4,10
249,73071,-,1,126,2013,3,1,2,3.5,56000,6.0,2,3,1,1,2,12
250,862,333,4,40,2014,3,1,1,2.0,186048,4.0,1,2,1,1,2,0
251,28909,831,5,14,2017,3,1,3,1.6,98000,4.0,1,2,1,1,3,4
252,8467,642,5,7,2012,3,1,6,2.0,573249,4.0,1,2,1,1,2,4
253,50,-,6,28,2013,3,0,1,1.5,130000,4.0,1,3,1,2,8,0
254,14426,639,5,7,2014,3,1,6,2.0,169024,4.0,1,2,1,1,3,4
255,9000,1325,12,127,2011,8,0,2,1.4,126000,4.0,1,2,1,2,1,6
256,30734,1053,7,10,2014,3,1,3,3.5,200179,6.0,1,1,1,1,2,12
257,22580,779,6,8,2013,3,1,2,2.5,156666,4.0,1,2,1,1,2,12
258,862,259,2,78,2014,1,1,1,1.4,133195,4.0,1,2,1,1,2,0
259,7464,247,3,3,2014,2,1,1,1.3,114950,4.0,1,2,1,1,5,4
260,1333,1091,4,40,2016,3,1,2,2.5,154850,4.0,1,2,1,1,2,12
261,59865,879,5,43,2019,1,1,3,1.6,13000,4.0,1,2,1,1,3,4
262,49237,1342,6,26,2017,1,1,2,2.7,94262,4.0,1,3,1,1,3,12
263,68223,1327,5,24,2018,6,1,3,2.5,27406,4.0,1,2,1,1,10,4
264,392,1017,7,33,2017,3,1,2,2.0,1600,4.0,1,3,1,1,2,12
265,7683,-,15,128,2006,3,1,4,1.8,200000,4.0,3,2,1,1,1,2
267,2430,1598,7,10,2008,3,1,3,3.0,175614,6.0,1,3,1,1,2,12
268,282,333,4,40,2014,3,1,1,2.0,0,4.0,1,2,1,1,1,0
269,392,629,15,37,2015,1,1,2,1.6,85944,4.0,1,1,1,1,2,0
270,33556,765,7,129,2015,3,1,2,2.0,0,4.0,1,3,1,1,2,12
271,39161,831,20,130,2017,1,1,3,1.6,73000,4.0,1,2,1,1,3,4
272,16308,-,4,11,2008,4,0,3,2.2,180000,4.0,4,2,1,1,3,2
273,17719,-,6,8,2009,3,1,1,2.4,92000,4.0,2,2,1,1,8,8
274,43278,1514,1,61,2011,1,1,2,4.6,160138,8.0,1,1,1,1,3,0
275,470,1058,5,5,2012,1,1,2,3.5,197923,6.0,1,1,1,1,7,12
277,941,1935,6,131,2016,1,1,2,4.6,254805,8.0,1,1,1,1,3,12
278,49858,1077,5,43,2019,1,1,3,2.0,48000,4.0,1,2,1,1,3,4
280,220,1055,7,133,2013,3,1,2,3.5,159250,6.0,1,3,1,1,2,12
281,9722,765,5,7,2015,3,1,6,2.0,582376,4.0,1,2,1,1,9,4
282,21326,-,7,134,2006,3,1,2,5.0,2000,8.0,1,3,1,1,4,12
283,51075,1017,5,43,2017,1,1,3,2.0,40800,4.0,1,2,1,1,3,4
284,15241,707,5,59,2011,7,1,2,2.0,117492,4.0,1,2,1,1,4,4
285,2587,382,4,40,2015,3,1,1,2.0,88795,4.0,1,2,1,1,2,0
286,15524,1347,5,24,2008,8,1,3,2.5,56769,4.0,1,2,1,1,1,4
288,4861,779,6,8,2013,3,1,1,2.5,136861,4.0,1,2,1,1,5,12
289,29793,-,7,135,2005,3,1,2,3.5,263000,4.0,1,3,1,1,2,0
290,18208,531,5,14,2012,3,1,2,1.6,95665,4.0,1,2,1,1,4,4
291,549,481,5,7,2017,3,1,1,2.0,107387,4.0,1,2,1,1,1,12
292,30,-,15,128,2006,2,0,2,1.5,0,4.0,1,2,1,2,7,4
293,34497,779,6,136,2013,1,0,2,2.5,65350,4.0,2,2,1,1,3,12
294,6272,1522,8,137,2000,5,0,2,1.8,130000,4.0,4,2,1,1,1,0
295,4924,1282,2,45,2007,1,1,3,2.0,183923,4.0,1,2,1,1,1,4
297,43576,1091,5,24,2016,6,1,3,2.5,97129,4.0,1,2,1,1,1,4
298,7840,-,7,139,2001,3,1,4,2.0,140000,4.0,4,3,1,1,2,4
299,28225,1079,6,13,2018,1,0,2,2.0,24000,4.0,1,2,1,1,4,8
300,700,-,8,140,1992,3,0,2,1.1,0,4.0,4,2,1,1,3,2
301,2352,-,21,141,1998,2,0,2,1.5,300000,4.0,4,2,1,1,1,2
302,18817,738,2,50,2017,2,1,2,1.4,29094,4.0,1,2,1,1,4,0
303,4861,382,4,40,2015,3,1,1,2.0,148709,4.0,1,2,1,1,7,12
304,13172,1399,1,1,2010,1,1,1,3.5,186005,6.0,1,1,1,1,1,12
305,37320,1055,7,142,2013,3,1,2,3.5,156800,4.0,2,1,1,1,2,12
306,706,1017,4,4,2017,1,1,2,2.0,251430,4.0,1,2,1,1,5,12
307,39201,881,6,8,2015,3,1,1,2.5,35000,4.0,1,2,1,1,4,10
308,36426,880,5,14,2018,3,1,6,1.6,35643,4.0,1,2,1,1,3,4
309,8467,-,3,30,2006,2,0,2,1.8,250000,4.0,4,2,1,2,4,4
310,7840,-,7,143,2000,7,1,2,3.2,255000,6.0,2,3,2,1,1,4
311,12701,900,3,49,2015,1,1,2,2.4,117158,4.0,1,2,1,1,3,12
312,8154,781,16,54,2012,1,1,2,2.5,281659,4.0,1,1,1,1,5,0
313,46414,881,6,144,2015,3,1,1,2.5,63645,4.0,2,2,1,1,3,12
314,45160,798,7,145,2015,1,1,3,2.1,197338,4.0,1,1,1,1,3,12
315,100,-,10,146,2007,9,1,2,3.0,1123,6.0,2,1,2,1,2,12
317,1176,639,19,148,2014,2,1,2,2.0,136634,4.0,1,2,1,1,1,12
318,12231,-,5,14,2013,7,0,2,1.8,77000,6.0,4,2,2,1,13,0
319,5802,988,6,6,2007,2,1,1,1.5,140000,4.0,3,2,1,1,6,12
320,2901,1277,5,7,2018,3,1,2,2.4,45494,4.0,1,2,1,1,3,12
321,1882,442,6,6,2017,3,1,1,1.8,47672,4.0,1,2,1,1,3,12
322,22894,-,15,99,2010,3,0,2,4.0,109100,12.0,1,1,1,1,5,12
323,11290,-,3,3,2013,3,0,1,1.3,145000,4.0,1,2,1,2,1,8
324,6586,-,10,149,1997,3,0,6,1.8,270000,4.0,4,3,1,1,6,2
325,14426,-,6,8,2006,3,1,1,2.4,188800,4.0,3,2,1,1,4,8
326,36065,1051,19,150,2016,1,1,2,2.4,39000,4.0,3,2,1,1,1,12
327,27284,-,6,151,2014,3,1,2,2.5,52000,4.0,2,2,1,1,2,12
328,21639,1091,16,54,2016,1,0,2,2.5,34000,4.0,3,1,1,1,3,7
329,7840,790,5,106,2009,2,1,2,1.6,140000,4.0,1,2,1,1,1,4
330,7840,-,7,152,1998,3,0,4,2.0,180003,4.0,4,3,1,1,2,4
331,282,289,4,4,2008,1,1,1,0.4,220474,4.0,1,2,1,1,4,0
332,1646,1292,7,153,2016,1,1,2,3.0,59099,6.0,1,1,1,1,3,0
333,24198,1131,5,43,2013,1,1,3,2.0,124000,4.0,1,2,1,1,1,4
334,25365,502,3,3,2013,2,1,2,1.5,34682,4.0,1,2,1,1,4,4
335,1725,777,2,154,2014,3,1,2,2.5,310061,4.0,1,2,1,1,5,12
336,314,1399,27,155,2010,3,1,2,3.5,162453,6.0,1,2,1,1,1,12
337,17249,586,6,6,2012,3,0,1,1.8,22400,4.0,1,2,1,1,3,8
338,470,1399,7,10,2010,3,1,2,3.5,229904,6.0,1,1,1,1,2,12
340,4704,1047,5,14,2007,3,1,3,1.6,54279,4.0,1,2,1,1,1,4
341,12720,815,2,50,2011,3,1,2,1.8,135759,4.0,1,2,1,1,4,4
342,26372,1131,5,43,2013,1,1,3,2.0,120534,4.0,1,2,1,1,1,4
343,13485,-,10,21,2003,1,1,6,3.0,189000,6.0,2,1,1,2,2,10
344,25591,380,5,14,2014,3,1,2,1.6,140000,4.0,1,2,1,1,3,4
345,6429,1211,7,129,2010,3,1,2,3.0,108517,6.0,1,1,1,1,3,12
346,251,1493,1,9,2016,1,1,2,3.5,107030,6.0,1,1,1,1,4,12
347,39829,1811,1,61,2010,1,1,2,4.6,155821,8.0,1,1,1,1,2,0
348,13172,1793,7,10,2011,3,1,3,5.5,325811,8.0,1,1,1,1,2,12
349,627,1077,6,13,2019,1,1,2,2.0,24339,4.0,1,2,1,1,5,12
